datetime,cpu,mem
Fri Oct 13 23:54:21 UTC 2023,15,166197
Fri Oct 13 23:54:22 UTC 2023,15,162518
Fri Oct 13 23:54:24 UTC 2023,15,162114
Fri Oct 13 23:54:25 UTC 2023,15,162046
Fri Oct 13 23:54:26 UTC 2023,15,162017
Fri Oct 13 23:54:28 UTC 2023,15,162021
Fri Oct 13 23:54:29 UTC 2023,15,162033
Fri Oct 13 23:54:30 UTC 2023,15,162021
Fri Oct 13 23:54:31 UTC 2023,15,162020
Fri Oct 13 23:54:32 UTC 2023,15,162080
Fri Oct 13 23:54:33 UTC 2023,15,162048
Fri Oct 13 23:54:34 UTC 2023,15,161936
Fri Oct 13 23:54:35 UTC 2023,15,161760
Fri Oct 13 23:54:36 UTC 2023,15,161744
Fri Oct 13 23:54:37 UTC 2023,15,161700
Fri Oct 13 23:54:38 UTC 2023,15,161696
Fri Oct 13 23:54:39 UTC 2023,15,161808
Fri Oct 13 23:54:40 UTC 2023,15,161796
Fri Oct 13 23:54:41 UTC 2023,15,161792
Fri Oct 13 23:54:42 UTC 2023,15,161892
Fri Oct 13 23:54:43 UTC 2023,10,161705
Fri Oct 13 23:54:44 UTC 2023,10,161701
Fri Oct 13 23:54:45 UTC 2023,10,161685
Fri Oct 13 23:54:46 UTC 2023,10,161697
Fri Oct 13 23:54:47 UTC 2023,10,161689
Fri Oct 13 23:54:48 UTC 2023,10,161689
Fri Oct 13 23:54:49 UTC 2023,10,161705
Fri Oct 13 23:54:50 UTC 2023,10,161689
Fri Oct 13 23:54:51 UTC 2023,10,161689
Fri Oct 13 23:54:52 UTC 2023,10,161689
Fri Oct 13 23:54:53 UTC 2023,10,161697
Fri Oct 13 23:54:55 UTC 2023,10,161701
Fri Oct 13 23:54:55 UTC 2023,10,161692
Fri Oct 13 23:54:56 UTC 2023,10,161688
Fri Oct 13 23:54:58 UTC 2023,10,161692
Fri Oct 13 23:54:59 UTC 2023,10,161687
Fri Oct 13 23:55:00 UTC 2023,10,161703
Fri Oct 13 23:55:00 UTC 2023,10,161695
Fri Oct 13 23:55:01 UTC 2023,10,161691
Fri Oct 13 23:55:02 UTC 2023,10,161691
Fri Oct 13 23:55:03 UTC 2023,10,161691
Fri Oct 13 23:55:04 UTC 2023,10,161707
Fri Oct 13 23:55:05 UTC 2023,10,161691
Fri Oct 13 23:55:06 UTC 2023,10,161691
Fri Oct 13 23:55:07 UTC 2023,10,161691
Fri Oct 13 23:55:08 UTC 2023,10,161691
Fri Oct 13 23:55:09 UTC 2023,10,161703
Fri Oct 13 23:55:10 UTC 2023,10,161695
Fri Oct 13 23:55:12 UTC 2023,10,161711
Fri Oct 13 23:55:12 UTC 2023,10,162023
Fri Oct 13 23:55:14 UTC 2023,10,161795
Fri Oct 13 23:55:14 UTC 2023,10,161791
Fri Oct 13 23:55:16 UTC 2023,10,161775
Fri Oct 13 23:55:17 UTC 2023,10,161775
Fri Oct 13 23:55:17 UTC 2023,10,161775
Fri Oct 13 23:55:18 UTC 2023,10,161775
Fri Oct 13 23:55:20 UTC 2023,10,161807
Fri Oct 13 23:55:21 UTC 2023,10,161783
Fri Oct 13 23:55:22 UTC 2023,10,161787
Fri Oct 13 23:55:24 UTC 2023,10,161795
Fri Oct 13 23:55:25 UTC 2023,10,161775
Fri Oct 13 23:55:28 UTC 2023,10,161779
Fri Oct 13 23:55:29 UTC 2023,10,161779
Fri Oct 13 23:55:30 UTC 2023,10,161779
Fri Oct 13 23:55:31 UTC 2023,10,161775
Fri Oct 13 23:55:32 UTC 2023,10,161779
Fri Oct 13 23:55:33 UTC 2023,10,161775
Fri Oct 13 23:55:34 UTC 2023,10,161783
Fri Oct 13 23:55:35 UTC 2023,10,161783
Fri Oct 13 23:55:36 UTC 2023,10,161775
Fri Oct 13 23:55:37 UTC 2023,10,161779
Fri Oct 13 23:55:38 UTC 2023,10,161775
Fri Oct 13 23:55:39 UTC 2023,10,161770
Fri Oct 13 23:55:40 UTC 2023,10,161786
Fri Oct 13 23:55:41 UTC 2023,10,161778
Fri Oct 13 23:55:42 UTC 2023,10,161990
Fri Oct 13 23:55:43 UTC 2023,10,161794
Fri Oct 13 23:55:44 UTC 2023,10,161794
Fri Oct 13 23:55:45 UTC 2023,10,161394
Fri Oct 13 23:55:46 UTC 2023,10,161394
Fri Oct 13 23:55:47 UTC 2023,10,161394
Fri Oct 13 23:55:48 UTC 2023,10,161394
Fri Oct 13 23:55:49 UTC 2023,10,161414
Fri Oct 13 23:55:50 UTC 2023,10,161398
Fri Oct 13 23:55:51 UTC 2023,10,161394
Fri Oct 13 23:55:52 UTC 2023,10,161394
Fri Oct 13 23:55:53 UTC 2023,10,161390
Fri Oct 13 23:55:54 UTC 2023,10,161414
Fri Oct 13 23:55:55 UTC 2023,10,161402
Fri Oct 13 23:55:56 UTC 2023,10,161398
Fri Oct 13 23:55:57 UTC 2023,10,161413
Fri Oct 13 23:55:58 UTC 2023,10,161409
Fri Oct 13 23:55:59 UTC 2023,10,161425
Fri Oct 13 23:56:00 UTC 2023,10,160581
Fri Oct 13 23:56:01 UTC 2023,10,160582
Fri Oct 13 23:56:02 UTC 2023,10,160570
Fri Oct 13 23:56:03 UTC 2023,10,160570
Fri Oct 13 23:56:04 UTC 2023,10,160582
Fri Oct 13 23:56:05 UTC 2023,10,160570
Fri Oct 13 23:56:06 UTC 2023,10,160570
Fri Oct 13 23:56:07 UTC 2023,10,160570
Fri Oct 13 23:56:08 UTC 2023,10,160566
Fri Oct 13 23:56:09 UTC 2023,10,160582
Fri Oct 13 23:56:10 UTC 2023,10,160570
Fri Oct 13 23:56:11 UTC 2023,10,160570
Fri Oct 13 23:56:12 UTC 2023,10,160858
Fri Oct 13 23:56:13 UTC 2023,10,160626
Fri Oct 13 23:56:14 UTC 2023,10,160618
Fri Oct 13 23:56:15 UTC 2023,10,160618
Fri Oct 13 23:56:16 UTC 2023,10,160606
Fri Oct 13 23:56:17 UTC 2023,10,160610
Fri Oct 13 23:56:18 UTC 2023,10,160606
Fri Oct 13 23:56:19 UTC 2023,10,160635
Fri Oct 13 23:56:20 UTC 2023,10,160647
Fri Oct 13 23:56:21 UTC 2023,10,160619
Fri Oct 13 23:56:22 UTC 2023,10,160623
Fri Oct 13 23:56:23 UTC 2023,10,160615
Fri Oct 13 23:56:25 UTC 2023,10,160631
Fri Oct 13 23:56:26 UTC 2023,10,160615
Fri Oct 13 23:56:27 UTC 2023,10,160619
Fri Oct 13 23:56:28 UTC 2023,10,160619
Fri Oct 13 23:56:29 UTC 2023,10,160615
Fri Oct 13 23:56:30 UTC 2023,10,160627
Fri Oct 13 23:56:31 UTC 2023,10,160615
Fri Oct 13 23:56:32 UTC 2023,10,160619
Fri Oct 13 23:56:33 UTC 2023,10,160623
Fri Oct 13 23:56:34 UTC 2023,10,160619
Fri Oct 13 23:56:35 UTC 2023,10,160631
Fri Oct 13 23:56:36 UTC 2023,10,160466
Fri Oct 13 23:56:38 UTC 2023,10,160466
Fri Oct 13 23:56:39 UTC 2023,10,160466
Fri Oct 13 23:56:40 UTC 2023,10,160478
Fri Oct 13 23:56:41 UTC 2023,10,160466
Fri Oct 13 23:56:42 UTC 2023,10,160470
Fri Oct 13 23:56:43 UTC 2023,10,160746
Fri Oct 13 23:56:44 UTC 2023,10,160482
Fri Oct 13 23:56:45 UTC 2023,10,160482
Fri Oct 13 23:56:46 UTC 2023,10,160470
Fri Oct 13 23:56:47 UTC 2023,10,160470
Fri Oct 13 23:56:48 UTC 2023,10,160470
Fri Oct 13 23:56:49 UTC 2023,10,160474
Fri Oct 13 23:56:50 UTC 2023,10,160482
Fri Oct 13 23:56:52 UTC 2023,10,160470
Fri Oct 13 23:56:53 UTC 2023,10,160466
Fri Oct 13 23:56:54 UTC 2023,10,160474
Fri Oct 13 23:56:55 UTC 2023,10,160486
Fri Oct 13 23:56:56 UTC 2023,10,160474
Fri Oct 13 23:56:57 UTC 2023,10,160470
Fri Oct 13 23:56:57 UTC 2023,10,160470
Fri Oct 13 23:56:58 UTC 2023,10,160470
Fri Oct 13 23:56:59 UTC 2023,10,160470
Fri Oct 13 23:57:00 UTC 2023,10,160474
Fri Oct 13 23:57:01 UTC 2023,10,160468
Fri Oct 13 23:57:03 UTC 2023,10,160468
Fri Oct 13 23:57:04 UTC 2023,10,160468
Fri Oct 13 23:57:05 UTC 2023,10,160480
Fri Oct 13 23:57:06 UTC 2023,10,160468
Fri Oct 13 23:57:07 UTC 2023,10,160460
Fri Oct 13 23:57:08 UTC 2023,10,160468
Fri Oct 13 23:57:09 UTC 2023,10,160464
Fri Oct 13 23:57:10 UTC 2023,10,160488
Fri Oct 13 23:57:11 UTC 2023,10,160470
Fri Oct 13 23:57:12 UTC 2023,10,160734
Fri Oct 13 23:57:14 UTC 2023,10,160458
Fri Oct 13 23:57:14 UTC 2023,10,160449
Fri Oct 13 23:57:16 UTC 2023,10,160441
Fri Oct 13 23:57:17 UTC 2023,10,160437
Fri Oct 13 23:57:18 UTC 2023,10,160441
Fri Oct 13 23:57:18 UTC 2023,10,160445
Fri Oct 13 23:57:20 UTC 2023,10,159964
Fri Oct 13 23:57:21 UTC 2023,10,159928
Fri Oct 13 23:57:21 UTC 2023,10,159944
Fri Oct 13 23:57:23 UTC 2023,10,159944
Fri Oct 13 23:57:24 UTC 2023,10,159936
Fri Oct 13 23:57:26 UTC 2023,10,159936
Fri Oct 13 23:57:27 UTC 2023,10,159940
Fri Oct 13 23:57:28 UTC 2023,10,159944
Fri Oct 13 23:57:29 UTC 2023,10,159956
Fri Oct 13 23:57:30 UTC 2023,10,159578
Fri Oct 13 23:57:31 UTC 2023,10,159045
Fri Oct 13 23:57:32 UTC 2023,10,159045
Fri Oct 13 23:57:33 UTC 2023,10,159045
Fri Oct 13 23:57:34 UTC 2023,10,159045
Fri Oct 13 23:57:35 UTC 2023,10,159057
Fri Oct 13 23:57:36 UTC 2023,10,159045
Fri Oct 13 23:57:37 UTC 2023,10,159045
Fri Oct 13 23:57:38 UTC 2023,10,159045
Fri Oct 13 23:57:39 UTC 2023,10,159045
Fri Oct 13 23:57:40 UTC 2023,10,159057
Fri Oct 13 23:57:41 UTC 2023,10,159049
Fri Oct 13 23:57:42 UTC 2023,10,159045
Fri Oct 13 23:57:43 UTC 2023,10,159309
Fri Oct 13 23:57:44 UTC 2023,14,159061
Fri Oct 13 23:57:45 UTC 2023,14,159061
Fri Oct 13 23:57:46 UTC 2023,14,159049
Fri Oct 13 23:57:47 UTC 2023,14,159049
Fri Oct 13 23:57:48 UTC 2023,14,159045
Fri Oct 13 23:57:49 UTC 2023,14,159049
Fri Oct 13 23:57:50 UTC 2023,14,159061
Fri Oct 13 23:57:51 UTC 2023,14,159049
Fri Oct 13 23:57:52 UTC 2023,14,159049
Fri Oct 13 23:57:53 UTC 2023,14,159049
Fri Oct 13 23:57:54 UTC 2023,14,159045
Fri Oct 13 23:57:55 UTC 2023,14,159061
Fri Oct 13 23:57:56 UTC 2023,14,159049
Fri Oct 13 23:57:57 UTC 2023,14,159049
Fri Oct 13 23:57:58 UTC 2023,14,159049
Fri Oct 13 23:57:59 UTC 2023,14,159049
Fri Oct 13 23:58:00 UTC 2023,14,159085
Fri Oct 13 23:58:01 UTC 2023,14,159065
Fri Oct 13 23:58:02 UTC 2023,14,159065
Fri Oct 13 23:58:03 UTC 2023,14,159069
Fri Oct 13 23:58:04 UTC 2023,14,159061
Fri Oct 13 23:58:05 UTC 2023,14,159085
Fri Oct 13 23:58:06 UTC 2023,14,159069
Fri Oct 13 23:58:07 UTC 2023,14,159065
Fri Oct 13 23:58:08 UTC 2023,14,159065
Fri Oct 13 23:58:09 UTC 2023,14,159069
Fri Oct 13 23:58:09 UTC 2023,14,159077
Fri Oct 13 23:58:11 UTC 2023,14,159069
Fri Oct 13 23:58:11 UTC 2023,14,159065
Fri Oct 13 23:58:12 UTC 2023,14,159321
Fri Oct 13 23:58:14 UTC 2023,14,159069
Fri Oct 13 23:58:15 UTC 2023,14,159061
Fri Oct 13 23:58:16 UTC 2023,14,159049
Fri Oct 13 23:58:17 UTC 2023,14,159049
Fri Oct 13 23:58:18 UTC 2023,14,159049
Fri Oct 13 23:58:19 UTC 2023,14,159057
Fri Oct 13 23:58:20 UTC 2023,14,159053
Fri Oct 13 23:58:22 UTC 2023,14,159053
Fri Oct 13 23:58:23 UTC 2023,14,159057
Fri Oct 13 23:58:24 UTC 2023,14,159041
Fri Oct 13 23:58:25 UTC 2023,14,159061
Fri Oct 13 23:58:26 UTC 2023,14,159057
Fri Oct 13 23:58:27 UTC 2023,14,159053
Fri Oct 13 23:58:28 UTC 2023,14,159057
Fri Oct 13 23:58:29 UTC 2023,14,159049
Fri Oct 13 23:58:30 UTC 2023,14,159065
Fri Oct 13 23:58:31 UTC 2023,14,159051
Fri Oct 13 23:58:32 UTC 2023,14,159055
Fri Oct 13 23:58:33 UTC 2023,14,159051
Fri Oct 13 23:58:35 UTC 2023,14,159067
Fri Oct 13 23:58:35 UTC 2023,14,159051
Fri Oct 13 23:58:36 UTC 2023,14,159055
Fri Oct 13 23:58:37 UTC 2023,14,159051
Fri Oct 13 23:58:38 UTC 2023,14,159055
Fri Oct 13 23:58:39 UTC 2023,14,159051
Fri Oct 13 23:58:40 UTC 2023,14,159063
Fri Oct 13 23:58:41 UTC 2023,14,159051
Fri Oct 13 23:58:42 UTC 2023,14,159299
Fri Oct 13 23:58:43 UTC 2023,14,159059
Fri Oct 13 23:58:44 UTC 2023,10,159043
Fri Oct 13 23:58:45 UTC 2023,10,159055
Fri Oct 13 23:58:46 UTC 2023,10,159043
Fri Oct 13 23:58:47 UTC 2023,10,159043
Fri Oct 13 23:58:48 UTC 2023,10,159043
Fri Oct 13 23:58:49 UTC 2023,10,159051
Fri Oct 13 23:58:50 UTC 2023,10,159059
Fri Oct 13 23:58:51 UTC 2023,10,159047
Fri Oct 13 23:58:52 UTC 2023,10,159047
Fri Oct 13 23:58:53 UTC 2023,10,159047
Fri Oct 13 23:58:54 UTC 2023,10,159047
Fri Oct 13 23:58:55 UTC 2023,10,159059
Fri Oct 13 23:58:56 UTC 2023,10,159043
Fri Oct 13 23:58:58 UTC 2023,10,159047
Fri Oct 13 23:58:58 UTC 2023,10,159043
Fri Oct 13 23:59:00 UTC 2023,10,159047
Fri Oct 13 23:59:00 UTC 2023,10,159059
Fri Oct 13 23:59:01 UTC 2023,10,159043
Fri Oct 13 23:59:02 UTC 2023,10,159043
Fri Oct 13 23:59:03 UTC 2023,10,159047
Fri Oct 13 23:59:04 UTC 2023,10,159051
Fri Oct 13 23:59:05 UTC 2023,10,159059
Fri Oct 13 23:59:06 UTC 2023,10,159043
Fri Oct 13 23:59:07 UTC 2023,10,159047
Fri Oct 13 23:59:08 UTC 2023,10,159043
Fri Oct 13 23:59:09 UTC 2023,10,159043
Fri Oct 13 23:59:10 UTC 2023,10,159051
Fri Oct 13 23:59:11 UTC 2023,10,159043
Fri Oct 13 23:59:12 UTC 2023,10,159295
Fri Oct 13 23:59:13 UTC 2023,10,159051
Fri Oct 13 23:59:14 UTC 2023,10,159031
Fri Oct 13 23:59:15 UTC 2023,10,159047
Fri Oct 13 23:59:16 UTC 2023,10,159032
Fri Oct 13 23:59:17 UTC 2023,10,159036
Fri Oct 13 23:59:18 UTC 2023,10,159028
Fri Oct 13 23:59:19 UTC 2023,10,159048
Fri Oct 13 23:59:20 UTC 2023,10,159052
Fri Oct 13 23:59:21 UTC 2023,10,159024
Fri Oct 13 23:59:22 UTC 2023,10,159028
Fri Oct 13 23:59:23 UTC 2023,10,159032
Fri Oct 13 23:59:25 UTC 2023,10,159044
Fri Oct 13 23:59:26 UTC 2023,10,159024
Fri Oct 13 23:59:27 UTC 2023,10,159032
Fri Oct 13 23:59:28 UTC 2023,10,159028
Fri Oct 13 23:59:29 UTC 2023,10,159028
Fri Oct 13 23:59:30 UTC 2023,10,159040
Fri Oct 13 23:59:31 UTC 2023,10,159032
Fri Oct 13 23:59:32 UTC 2023,10,159028
Fri Oct 13 23:59:33 UTC 2023,10,159032
Fri Oct 13 23:59:34 UTC 2023,10,159032
Fri Oct 13 23:59:35 UTC 2023,10,159060
Fri Oct 13 23:59:36 UTC 2023,10,159040
Fri Oct 13 23:59:38 UTC 2023,10,159040
Fri Oct 13 23:59:40 UTC 2023,10,159044
Fri Oct 13 23:59:40 UTC 2023,10,159052
Fri Oct 13 23:59:41 UTC 2023,10,159044
Fri Oct 13 23:59:42 UTC 2023,10,159320
Fri Oct 13 23:59:43 UTC 2023,10,159100
Fri Oct 13 23:59:44 UTC 2023,10,159088
Fri Oct 13 23:59:45 UTC 2023,10,159092
Fri Oct 13 23:59:46 UTC 2023,10,159088
Fri Oct 13 23:59:48 UTC 2023,10,159088
Fri Oct 13 23:59:49 UTC 2023,10,159096
Fri Oct 13 23:59:50 UTC 2023,10,159100
Fri Oct 13 23:59:51 UTC 2023,10,159088
Fri Oct 13 23:59:52 UTC 2023,10,159120
Fri Oct 13 23:59:53 UTC 2023,10,159092
Fri Oct 13 23:59:54 UTC 2023,10,159088
Fri Oct 13 23:59:56 UTC 2023,10,159104
Fri Oct 13 23:59:57 UTC 2023,10,159088
Fri Oct 13 23:59:58 UTC 2023,10,159084
Fri Oct 13 23:59:59 UTC 2023,10,159088
Sat Oct 14 00:00:00 UTC 2023,10,159085
Sat Oct 14 00:00:01 UTC 2023,10,159101
Sat Oct 14 00:00:02 UTC 2023,10,159089
Sat Oct 14 00:00:03 UTC 2023,10,159089
Sat Oct 14 00:00:04 UTC 2023,10,159093
Sat Oct 14 00:00:05 UTC 2023,10,159093
Sat Oct 14 00:00:06 UTC 2023,10,159101
Sat Oct 14 00:00:07 UTC 2023,10,159089
Sat Oct 14 00:00:08 UTC 2023,10,159089
Sat Oct 14 00:00:09 UTC 2023,10,159089
Sat Oct 14 00:00:10 UTC 2023,10,159089
Sat Oct 14 00:00:11 UTC 2023,10,159101
Sat Oct 14 00:00:12 UTC 2023,10,159105
Sat Oct 14 00:00:13 UTC 2023,10,159333
Sat Oct 14 00:00:14 UTC 2023,10,159061
Sat Oct 14 00:00:15 UTC 2023,10,159049
Sat Oct 14 00:00:16 UTC 2023,10,159069
Sat Oct 14 00:00:17 UTC 2023,10,159049
Sat Oct 14 00:00:18 UTC 2023,10,159049
Sat Oct 14 00:00:19 UTC 2023,10,159049
Sat Oct 14 00:00:20 UTC 2023,10,159069
Sat Oct 14 00:00:21 UTC 2023,10,159065
Sat Oct 14 00:00:22 UTC 2023,10,159057
Sat Oct 14 00:00:23 UTC 2023,10,159057
Sat Oct 14 00:00:25 UTC 2023,10,159045
Sat Oct 14 00:00:26 UTC 2023,10,159065
Sat Oct 14 00:00:27 UTC 2023,10,159053
Sat Oct 14 00:00:28 UTC 2023,10,159053
Sat Oct 14 00:00:29 UTC 2023,10,159057
Sat Oct 14 00:00:30 UTC 2023,10,159049
Sat Oct 14 00:00:31 UTC 2023,10,159059
Sat Oct 14 00:00:32 UTC 2023,10,159051
Sat Oct 14 00:00:33 UTC 2023,10,159047
Sat Oct 14 00:00:34 UTC 2023,10,159055
Sat Oct 14 00:00:35 UTC 2023,10,159051
