Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697241261394,-446777,4128
1697241261505,-285644,4128
1697241261612,-285644,4128
1697241261716,-285644,4128
1697241261820,-285644,4128
1697241261924,-285644,4128
1697241262027,-285644,4128
1697241262131,-285644,4128
1697241262235,-285644,4128
1697241262340,-285644,4128
1697241262444,-285644,4128
1697241262554,-285644,4128
1697241262662,-285644,4128
1697241262769,-285644,4128
1697241262876,-285644,4128
1697241262984,-249023,4128
1697241263090,-249023,4128
1697241263197,-249023,4128
1697241263311,-249023,4128
1697241263421,-249023,4128
1697241263535,-249023,4128
1697241263639,-249023,4128
1697241263743,-249023,4128
1697241263847,-249023,4128
1697241263951,-249023,4128
1697241264055,-249023,4128
1697241264159,-249023,4128
1697241264275,-249023,4128
1697241264383,-208007,4128
1697241264491,-208007,4128
1697241264595,-208007,4128
1697241264703,-208007,4128
1697241264820,-208007,4128
1697241264926,-208007,4128
1697241265030,-208007,4128
1697241265133,-208007,4128
1697241265237,-208007,4128
1697241265340,-208007,4128
1697241265445,-208007,4128
1697241265553,-208007,4128
1697241265662,-208007,4128
1697241265771,-208007,4128
1697241265875,-186035,4128
1697241265984,-186035,4128
1697241266094,-186035,4128
1697241266202,-186035,4128
1697241266306,-186035,4128
1697241266410,-186035,4128
1697241266513,-186035,4128
1697241266617,-186035,4128
1697241266720,-186035,4128
1697241266824,-186035,4128
1697241266927,-186035,4128
1697241267032,-186035,4128
1697241267136,-186035,4128
1697241267239,-186035,4128
1697241267342,-376464,4128
1697241267445,-376464,4128
1697241267549,-376464,4128
1697241267653,-376464,4128
1697241267757,-376464,4128
1697241267873,-376464,4128
1697241267979,-376464,4128
1697241268089,-376464,4128
1697241268196,-376464,4128
1697241268303,-376464,4128
1697241268413,-376464,4128
1697241268524,-376464,4128
1697241268634,-376464,4128
1697241268747,-376464,4128
1697241268861,-103027,4128
1697241268965,-103027,4128
1697241269068,-103027,4128
1697241269172,-103027,4128
1697241269275,-103027,4128
1697241269379,-103027,4128
1697241269483,-103027,4128
1697241269591,-103027,4128
1697241269699,-103027,4128
1697241269806,-103027,4128
1697241269910,-103027,4128
1697241270013,-103027,4128
1697241270117,-103027,4128
1697241270221,-103027,4128
1697241270325,-251464,4128
1697241270434,-251464,4128
1697241270545,-251464,4128
1697241270664,-251464,4128
1697241270772,-251464,4128
1697241270876,-251464,4128
1697241270980,-251464,4128
1697241271083,-251464,4128
1697241271186,-251464,4128
1697241271290,-251464,4128
1697241271394,-251464,4128
1697241271504,-251464,4128
1697241271611,-251464,4128
1697241271715,-251464,4128
1697241271818,-237304,4128
1697241271921,-237304,4128
1697241272025,-237304,4128
1697241272129,-237304,4128
1697241272232,-237304,4128
1697241272335,-237304,4128
1697241272439,-237304,4128
1697241272549,-237304,4128
1697241272656,-237304,4128
1697241272760,-237304,4128
1697241272863,-237304,4128
1697241272966,-237304,4128
1697241273070,-237304,4128
1697241273173,-237304,4128
1697241273280,-247558,4128
1697241273383,-247558,4128
1697241273487,-247558,4128
1697241273595,-247558,4128
1697241273709,-247558,4128
1697241273812,-247558,4128
1697241273919,-247558,4128
1697241274022,-247558,4128
1697241274126,-247558,4128
1697241274229,-247558,4128
1697241274333,-247558,4128
1697241274437,-247558,4128
1697241274544,-247558,4128
1697241274652,-247558,4128
1697241274758,-228027,4128
1697241274865,-228027,4128
1697241274969,-228027,4128
1697241275073,-228027,4128
1697241275176,-228027,4128
1697241275280,-228027,4128
1697241275383,-228027,4128
1697241275490,-228027,4128
1697241275597,-228027,4128
1697241275707,-228027,4128
1697241275815,-228027,4128
1697241275919,-228027,4128
1697241276022,-228027,4128
1697241276126,-228027,4128
1697241276229,-267577,4128
1697241276334,-267577,4128
1697241276438,-267577,4128
1697241276541,-267577,4128
1697241276646,-267577,4128
1697241276753,-267577,4128
1697241276863,-267577,4128
1697241276972,-267577,4128
1697241277075,-267577,4128
1697241277179,-267577,4128
1697241277282,-267577,4128
1697241277385,-267577,4128
1697241277489,-267577,4128
1697241277596,-267577,4128
1697241277705,-207519,4128
1697241277819,-207519,4128
1697241277925,-207519,4128
1697241278029,-207519,4128
1697241278132,-207519,4128
1697241278235,-207519,4128
1697241278339,-207519,4128
1697241278442,-207519,4128
1697241278549,-207519,4128
1697241278660,-207519,4128
1697241278770,-207519,4128
1697241278874,-207519,4128
1697241278979,-207519,4128
1697241279083,-207519,4128
1697241279186,-283691,4128
1697241279289,-283691,4128
1697241279393,-283691,4128
1697241279496,-283691,4128
1697241279603,-283691,4128
1697241279710,-283691,4128
1697241279821,-283691,4128
1697241279928,-283691,4128
1697241280032,-283691,4128
1697241280135,-283691,4128
1697241280239,-283691,4128
1697241280343,-283691,4128
1697241280447,-283691,4128
1697241280555,-283691,4128
1697241280667,-218261,4128
1697241280776,-218261,4128
1697241280884,-218261,4128
1697241280988,-218261,4128
