datetime,cpu,mem
Sat Oct 14 12:48:51 UTC 2023,3.4,162070
Sat Oct 14 12:48:52 UTC 2023,3.4,160112
Sat Oct 14 12:48:53 UTC 2023,3.4,159832
Sat Oct 14 12:48:59 UTC 2023,3.4,163808
Sat Oct 14 12:49:00 UTC 2023,3.4,161176
Sat Oct 14 12:49:01 UTC 2023,3.4,162588
Sat Oct 14 12:49:01 UTC 2023,3.4,161240
Sat Oct 14 12:49:02 UTC 2023,3.4,160684
Sat Oct 14 12:49:04 UTC 2023,3.4,162804
Sat Oct 14 12:49:05 UTC 2023,3.4,163220
Sat Oct 14 12:49:06 UTC 2023,3.4,161100
Sat Oct 14 12:49:07 UTC 2023,3.4,161008
Sat Oct 14 12:49:08 UTC 2023,3.4,164604
Sat Oct 14 12:49:09 UTC 2023,3.4,161568
Sat Oct 14 12:49:10 UTC 2023,3.4,160956
Sat Oct 14 12:49:11 UTC 2023,3.4,162576
Sat Oct 14 12:49:12 UTC 2023,3.4,163342
Sat Oct 14 12:49:13 UTC 2023,3.4,161126
Sat Oct 14 12:49:14 UTC 2023,3.4,161162
Sat Oct 14 12:49:15 UTC 2023,3.4,165326
Sat Oct 14 12:49:19 UTC 2023,3.4,169334
Sat Oct 14 12:49:20 UTC 2023,3.4,161558
Sat Oct 14 12:49:21 UTC 2023,3.4,161566
Sat Oct 14 12:49:22 UTC 2023,3.4,165446
Sat Oct 14 12:49:23 UTC 2023,3.4,162061
Sat Oct 14 12:49:24 UTC 2023,3.4,161297
Sat Oct 14 12:49:25 UTC 2023,3.4,162157
Sat Oct 14 12:49:26 UTC 2023,3.4,163157
Sat Oct 14 12:49:27 UTC 2023,3.4,165505
Sat Oct 14 12:49:28 UTC 2023,3.4,161365
Sat Oct 14 12:49:29 UTC 2023,3.4,161669
Sat Oct 14 12:49:30 UTC 2023,3.4,163597
Sat Oct 14 12:49:31 UTC 2023,3.4,163613
Sat Oct 14 12:49:32 UTC 2023,3.4,161437
Sat Oct 14 12:49:33 UTC 2023,15,163821
Sat Oct 14 12:49:34 UTC 2023,15,166049
Sat Oct 14 12:49:35 UTC 2023,15,161545
Sat Oct 14 12:49:36 UTC 2023,15,161241
Sat Oct 14 12:49:37 UTC 2023,15,163785
Sat Oct 14 12:49:37 UTC 2023,15,165206
Sat Oct 14 12:49:38 UTC 2023,15,161642
Sat Oct 14 12:49:39 UTC 2023,15,161894
Sat Oct 14 12:49:40 UTC 2023,15,165118
