Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697293110732,-474120,3751
1697293110837,-474120,3751
1697293110942,-474120,3751
1697293111046,-625976,3751
1697293111149,-625976,3751
1697293111253,-625976,3751
1697293111356,-625976,3751
1697293111461,-625976,3751
1697293111565,-625976,3751
1697293111669,-625976,3751
1697293111773,-625976,3751
1697293111876,-625976,3751
1697293111980,-625976,3751
1697293112084,-625976,3751
1697293112188,-625976,3751
1697293112293,-625976,3751
1697293112396,-625976,3751
1697293112499,-328124,3751
1697293112604,-328124,3751
1697293112707,-328124,3751
1697293112811,-328124,3751
1697293112915,-328124,3751
1697293113019,-328124,3751
1697293113122,-328124,3751
1697293113225,-328124,3751
1697293113329,-328124,3751
1697293113435,-328124,3751
1697293113542,-328124,3751
1697293113646,-328124,3751
1697293113749,-328124,3751
1697293113853,-328124,3751
1697293113956,-391113,3751
1697293114059,-391113,3751
1697293114163,-391113,3751
1697293114267,-391113,3751
1697293114374,-391113,3751
1697293114485,-391113,3751
1697293114594,-391113,3751
1697293114698,-391113,3751
1697293114801,-391113,3751
1697293114905,-391113,3751
1697293115008,-391113,3751
1697293115111,-391113,3751
1697293115215,-391113,3751
1697293115321,-391113,3751
1697293115425,-391113,3751
1697293115529,-393554,3751
1697293115638,-393554,3751
1697293115742,-393554,3751
1697293115848,-393554,3751
1697293115952,-393554,3751
1697293116055,-393554,3751
1697293116159,-393554,3751
1697293116262,-393554,3751
1697293116366,-393554,3751
1697293116470,-393554,3751
1697293116573,-393554,3751
1697293116677,-393554,3751
1697293116781,-393554,3751
1697293116885,-393554,3751
1697293116989,-568847,3751
1697293117093,-568847,3751
1697293117196,-568847,3751
1697293117302,-568847,3751
1697293117406,-568847,3751
1697293117509,-568847,3751
1697293117613,-568847,3751
1697293117716,-568847,3751
1697293117820,-568847,3751
1697293117923,-568847,3751
1697293118026,-568847,3751
1697293118129,-568847,3751
1697293118233,-568847,3751
1697293118337,-568847,3751
1697293118440,-464843,3751
1697293118544,-464843,3751
1697293118647,-464843,3751
1697293118751,-464843,3751
1697293118854,-464843,3751
1697293118957,-464843,3751
1697293119061,-464843,3751
1697293119165,-464843,3751
1697293119270,-464843,3751
1697293119376,-464843,3751
1697293119479,-464843,3751
1697293119598,-464843,3751
1697293119702,-464843,3751
1697293119805,-464843,3751
1697293119909,-334472,3751
1697293120014,-334472,3751
1697293120117,-334472,3751
1697293120225,-334472,3751
1697293120331,-334472,3751
1697293120435,-334472,3751
1697293120541,-334472,3751
1697293120646,-334472,3751
1697293120752,-334472,3751
1697293120856,-334472,3751
1697293120959,-334472,3751
1697293121063,-334472,3751
1697293121181,-334472,3751
1697293121287,-334472,3751
1697293121395,-350097,3751
1697293121501,-350097,3751
1697293121607,-350097,3751
1697293121710,-350097,3751
1697293121814,-350097,3751
1697293121917,-350097,3751
