datetime,cpu,mem
Sat Oct 14 23:16:16 UTC 2023,29,99316
Sat Oct 14 23:16:17 UTC 2023,29,99393
Sat Oct 14 23:16:17 UTC 2023,29,99514
Sat Oct 14 23:16:18 UTC 2023,29,99478
Sat Oct 14 23:16:19 UTC 2023,29,99470
Sat Oct 14 23:16:20 UTC 2023,29,99406
Sat Oct 14 23:16:21 UTC 2023,29,98889
Sat Oct 14 23:16:22 UTC 2023,29,97578
Sat Oct 14 23:16:23 UTC 2023,29,99117
Sat Oct 14 23:16:25 UTC 2023,13,98678
Sat Oct 14 23:16:26 UTC 2023,13,98654
Sat Oct 14 23:16:27 UTC 2023,13,98662
Sat Oct 14 23:16:28 UTC 2023,13,98650
Sat Oct 14 23:16:29 UTC 2023,13,98662
Sat Oct 14 23:16:29 UTC 2023,13,98654
Sat Oct 14 23:16:30 UTC 2023,13,98662
Sat Oct 14 23:16:31 UTC 2023,13,98650
Sat Oct 14 23:16:32 UTC 2023,13,98658
Sat Oct 14 23:16:32 UTC 2023,13,98654
Sat Oct 14 23:16:33 UTC 2023,13,98662
Sat Oct 14 23:16:34 UTC 2023,13,98650
Sat Oct 14 23:16:35 UTC 2023,13,98650
Sat Oct 14 23:16:36 UTC 2023,13,98654
Sat Oct 14 23:16:36 UTC 2023,13,98662
Sat Oct 14 23:16:37 UTC 2023,13,98650
Sat Oct 14 23:16:38 UTC 2023,13,98662
Sat Oct 14 23:16:39 UTC 2023,13,98654
Sat Oct 14 23:16:39 UTC 2023,13,98662
Sat Oct 14 23:16:40 UTC 2023,13,98642
Sat Oct 14 23:16:41 UTC 2023,13,98662
Sat Oct 14 23:16:42 UTC 2023,13,98654
Sat Oct 14 23:16:42 UTC 2023,13,98662
Sat Oct 14 23:16:43 UTC 2023,13,98654
Sat Oct 14 23:16:45 UTC 2023,13,98662
Sat Oct 14 23:16:46 UTC 2023,13,98650
Sat Oct 14 23:16:46 UTC 2023,13,98662
Sat Oct 14 23:16:47 UTC 2023,13,98650
Sat Oct 14 23:16:48 UTC 2023,13,98658
Sat Oct 14 23:16:49 UTC 2023,13,98654
Sat Oct 14 23:16:50 UTC 2023,13,98662
Sat Oct 14 23:16:51 UTC 2023,13,98654
Sat Oct 14 23:16:51 UTC 2023,13,98662
Sat Oct 14 23:16:52 UTC 2023,13,98650
Sat Oct 14 23:16:53 UTC 2023,13,98662
Sat Oct 14 23:16:54 UTC 2023,13,98654
Sat Oct 14 23:16:54 UTC 2023,13,98658
Sat Oct 14 23:16:55 UTC 2023,13,98650
Sat Oct 14 23:16:56 UTC 2023,13,98662
Sat Oct 14 23:16:57 UTC 2023,13,98654
Sat Oct 14 23:16:58 UTC 2023,13,98658
Sat Oct 14 23:16:58 UTC 2023,13,98654
Sat Oct 14 23:16:59 UTC 2023,13,98658
Sat Oct 14 23:17:00 UTC 2023,13,98658
Sat Oct 14 23:17:01 UTC 2023,13,98658
Sat Oct 14 23:17:02 UTC 2023,13,98654
Sat Oct 14 23:17:02 UTC 2023,13,98650
