Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697325367419,-219726,3791
1697325367525,-219726,3791
1697325367630,-219726,3791
1697325367737,-219726,3791
1697325367842,-219726,3791
1697325367947,-208007,3791
1697325368051,-208007,3791
1697325368154,-208007,3791
1697325368263,-208007,3791
1697325368369,-208007,3791
1697325368475,-208007,3791
1697325368585,-208007,3791
1697325368691,-208007,3791
1697325368797,-208007,3791
1697325368904,-208007,3791
1697325369013,-208007,3791
1697325369124,-208007,3791
1697325369233,-208007,3791
1697325369341,-156738,3791
1697325369451,-156738,3791
1697325369557,-156738,3791
1697325369665,-156738,3791
1697325369773,-156738,3791
1697325369880,-156738,3791
1697325369986,-156738,3791
1697325370093,-156738,3791
1697325370200,-156738,3791
1697325370307,-156738,3791
1697325370415,-156738,3791
1697325370530,-156738,3791
1697325370636,-156738,3791
1697325370742,-156738,3791
1697325370857,-184081,3791
1697325370972,-184081,3791
1697325371079,-184081,3791
1697325371193,-184081,3791
1697325371305,-184081,3791
1697325371417,-184081,3791
1697325371528,-184081,3791
1697325371639,-184081,3791
1697325371752,-184081,3791
1697325371862,-184081,3791
1697325371974,-184081,3791
1697325372086,-184081,3791
1697325372194,-184081,3791
1697325372308,-142089,3791
1697325372421,-142089,3791
1697325372534,-142089,3791
1697325372643,-142089,3791
1697325372753,-142089,3791
1697325372866,-142089,3791
1697325372976,-142089,3791
1697325373080,-142089,3791
1697325373186,-142089,3791
1697325373291,-142089,3791
1697325373395,-142089,3791
1697325373499,-142089,3791
1697325373602,-142089,3791
1697325373705,-142089,3791
1697325373810,-337890,3791
1697325373916,-337890,3791
1697325374021,-337890,3791
1697325374126,-337890,3791
1697325374229,-337890,3791
1697325374336,-337890,3791
1697325374446,-337890,3791
1697325374553,-337890,3791
1697325374655,-337890,3791
1697325374762,-337890,3791
1697325374866,-337890,3791
1697325374977,-337890,3791
1697325375081,-337890,3791
1697325375184,-337890,3791
1697325375287,-479980,3791
1697325375393,-479980,3791
1697325375499,-479980,3791
1697325375615,-479980,3791
1697325375718,-479980,3791
1697325375822,-479980,3791
1697325375930,-479980,3791
1697325376036,-479980,3791
1697325376083,-479980,3791
1697325376141,-479980,3791
1697325376188,-479980,3791
1697325376245,-479980,3791
1697325376291,-479980,3791
1697325376350,-479980,3791
1697325376400,-479980,3791
1697325376456,-479980,3791
1697325376507,-479980,3791
1697325376560,-479980,3791
