Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697369639742,-325195,4019
1697369639863,-325195,4019
1697369639966,-325195,4019
1697369640069,-455077,4019
1697369640174,-455077,4019
1697369640279,-455077,4019
1697369640383,-455077,4019
1697369640486,-455077,4019
1697369640590,-455077,4019
1697369640697,-455077,4019
1697369640805,-455077,4019
1697369640913,-455077,4019
1697369641022,-455077,4019
1697369641126,-455077,4019
1697369641229,-455077,4019
1697369641332,-455077,4019
1697369641436,-455077,4019
1697369641544,-297851,4019
1697369641657,-297851,4019
1697369641763,-297851,4019
1697369641867,-297851,4019
1697369641970,-297851,4019
1697369642074,-297851,4019
1697369642182,-297851,4019
1697369642291,-297851,4019
1697369642404,-297851,4019
1697369642520,-297851,4019
1697369642634,-297851,4019
1697369642744,-297851,4019
1697369642848,-297851,4019
1697369642951,-297851,4019
1697369643058,-340820,4019
1697369643163,-340820,4019
1697369643266,-340820,4019
1697369643370,-340820,4019
1697369643478,-340820,4019
1697369643585,-340820,4019
1697369643692,-340820,4019
1697369643799,-340820,4019
1697369643902,-340820,4019
1697369644006,-340820,4019
1697369644109,-340820,4019
1697369644219,-340820,4019
1697369644330,-340820,4019
1697369644437,-340820,4019
1697369644550,-274902,4019
1697369644659,-274902,4019
1697369644763,-274902,4019
1697369644866,-274902,4019
1697369644970,-274902,4019
1697369645074,-274902,4019
1697369645183,-274902,4019
1697369645289,-274902,4019
1697369645393,-274902,4019
1697369645498,-274902,4019
1697369645603,-274902,4019
1697369645707,-274902,4019
1697369645811,-274902,4019
1697369645918,-274902,4019
1697369646026,-288085,4019
1697369646136,-288085,4019
1697369646243,-288085,4019
1697369646355,-288085,4019
1697369646460,-288085,4019
1697369646563,-288085,4019
1697369646669,-288085,4019
1697369646773,-288085,4019
1697369646881,-288085,4019
1697369646988,-288085,4019
1697369647098,-288085,4019
1697369647205,-288085,4019
1697369647308,-288085,4019
1697369647412,-295898,4019
1697369647516,-295898,4019
1697369647623,-295898,4019
1697369647730,-295898,4019
1697369647836,-295898,4019
1697369647939,-295898,4019
1697369648044,-295898,4019
1697369648148,-295898,4019
1697369648252,-295898,4019
1697369648355,-295898,4019
1697369648465,-295898,4019
1697369648573,-295898,4019
1697369648680,-295898,4019
1697369648789,-295898,4019
1697369648895,-279785,4019
1697369649002,-279785,4019
1697369649105,-279785,4019
1697369649209,-279785,4019
1697369649321,-279785,4019
1697369649429,-279785,4019
1697369649541,-279785,4019
1697369649648,-279785,4019
1697369649755,-279785,4019
1697369649861,-279785,4019
1697369649964,-279785,4019
1697369650068,-279785,4019
1697369650171,-279785,4019
1697369650275,-279785,4019
1697369650381,-347167,4019
1697369650487,-347167,4019
1697369650591,-347167,4019
1697369650694,-347167,4019
1697369650798,-347167,4019
1697369650907,-347167,4019
1697369651013,-347167,4019
1697369651121,-347167,4019
1697369651226,-347167,4019
1697369651329,-347167,4019
1697369651432,-347167,4019
1697369651537,-347167,4019
1697369651645,-347167,4019
1697369651755,-347167,4019
1697369651865,-209960,4019
1697369651968,-209960,4019
1697369652071,-209960,4019
1697369652175,-209960,4019
1697369652278,-209960,4019
1697369652381,-209960,4019
1697369652485,-209960,4019
1697369652593,-209960,4019
1697369652699,-209960,4019
1697369652802,-209960,4019
1697369652905,-209960,4019
1697369653008,-209960,4019
1697369653119,-209960,4019
1697369653225,-209960,4019
1697369653334,-208007,4019
1697369653444,-208007,4019
1697369653557,-208007,4019
1697369653661,-208007,4019
1697369653774,-208007,4019
1697369653877,-208007,4019
1697369653980,-208007,4019
1697369654086,-208007,4019
1697369654192,-208007,4019
1697369654296,-208007,4019
1697369654400,-208007,4019
1697369654507,-208007,4019
1697369654610,-208007,4019
1697369654713,-208007,4019
1697369654817,-372070,4019
1697369654921,-372070,4019
1697369655029,-372070,4019
1697369655138,-372070,4019
1697369655248,-372070,4019
1697369655352,-372070,4019
1697369655456,-372070,4019
1697369655560,-372070,4019
1697369655666,-372070,4019
1697369655777,-372070,4019
1697369655886,-372070,4019
1697369655991,-372070,4019
1697369656098,-372070,4019
1697369656201,-372070,4019
1697369656304,-383300,4019
1697369656410,-383300,4019
1697369656521,-383300,4019
1697369656624,-383300,4019
1697369656728,-383300,4019
1697369656831,-383300,4019
1697369656934,-383300,4019
1697369657038,-383300,4019
1697369657146,-383300,4019
1697369657250,-383300,4019
1697369657354,-383300,4019
1697369657458,-383300,4019
1697369657566,-383300,4019
1697369657670,-383300,4019
1697369657774,-290527,4019
1697369657877,-290527,4019
1697369657985,-290527,4019
1697369658091,-290527,4019
1697369658196,-290527,4019
1697369658299,-290527,4019
1697369658403,-290527,4019
1697369658507,-290527,4019
1697369658611,-290527,4019
1697369658716,-290527,4019
1697369658826,-290527,4019
1697369658937,-290527,4019
1697369659041,-290527,4019
1697369659148,-290527,4019
1697369659252,-289550,4019
1697369659356,-289550,4019
1697369659459,-289550,4019
1697369659563,-289550,4019
1697369659671,-289550,4019
1697369659782,-289550,4019
1697369659890,-289550,4019
1697369659996,-289550,4019
1697369660100,-289550,4019
1697369660204,-289550,4019
1697369660307,-289550,4019
1697369660414,-289550,4019
1697369660519,-289550,4019
1697369660624,-289550,4019
1697369660728,-433105,4019
1697369660833,-433105,4019
1697369660937,-433105,4019
1697369661041,-433105,4019
1697369661149,-433105,4019
1697369661257,-433105,4019
1697369661365,-433105,4019
1697369661469,-433105,4019
1697369661572,-433105,4019
1697369661677,-433105,4019
1697369661780,-433105,4019
1697369661885,-433105,4019
1697369661992,-433105,4019
1697369662102,-433105,4019
1697369662207,-275878,4019
1697369662312,-275878,4019
1697369662416,-275878,4019
1697369662519,-275878,4019
1697369662623,-275878,4019
1697369662729,-275878,4019
1697369662837,-275878,4019
1697369662941,-275878,4019
1697369663047,-275878,4019
1697369663150,-275878,4019
1697369663253,-275878,4019
1697369663356,-275878,4019
1697369663460,-275878,4019
1697369663567,-275878,4019
1697369663675,-212890,4019
1697369663778,-212890,4019
1697369663885,-212890,4019
1697369663998,-212890,4019
1697369664103,-212890,4019
1697369664209,-212890,4019
1697369664322,-212890,4019
1697369664429,-212890,4019
1697369664537,-212890,4019
1697369664656,-212890,4019
1697369664764,-212890,4019
1697369664871,-212890,4019
1697369664979,-212890,4019
1697369665089,-212890,4019
1697369665200,-218749,4019
1697369665311,-218749,4019
1697369665417,-218749,4019
1697369665522,-218749,4019
1697369665629,-218749,4019
1697369665738,-218749,4019
1697369665850,-218749,4019
1697369665957,-218749,4019
1697369666074,-218749,4019
1697369666178,-218749,4019
1697369666281,-218749,4019
1697369666385,-218749,4019
1697369666488,-218749,4019
1697369666594,-346679,4019
1697369666701,-346679,4019
1697369666804,-346679,4019
1697369666907,-346679,4019
1697369667010,-346679,4019
1697369667118,-346679,4019
1697369667225,-346679,4019
1697369667335,-346679,4019
1697369667442,-346679,4019
1697369667549,-346679,4019
1697369667655,-346679,4019
1697369667758,-346679,4019
1697369667862,-346679,4019
1697369667970,-346679,4019
1697369668073,-392089,4019
1697369668179,-392089,4019
1697369668282,-392089,4019
1697369668393,-392089,4019
1697369668497,-392089,4019
1697369668602,-392089,4019
1697369668706,-392089,4019
1697369668809,-392089,4019
1697369668912,-392089,4019
1697369669017,-392089,4019
1697369669121,-392089,4019
1697369669227,-392089,4019
1697369669335,-392089,4019
1697369669439,-392089,4019
1697369669542,-367675,4019
1697369669646,-367675,4019
1697369669753,-367675,4019
1697369669877,-367675,4019
1697369669988,-367675,4019
1697369670092,-367675,4019
1697369670196,-367675,4019
1697369670300,-367675,4019
1697369670405,-367675,4019
1697369670508,-367675,4019
1697369670617,-367675,4019
1697369670722,-367675,4019
1697369670839,-367675,4019
1697369670946,-367675,4019
1697369671050,-307617,4019
1697369671153,-307617,4019
1697369671256,-307617,4019
1697369671366,-307617,4019
1697369671469,-307617,4019
1697369671572,-307617,4019
1697369671675,-307617,4019
1697369671780,-307617,4019
1697369671884,-307617,4019
1697369671992,-307617,4019
1697369672099,-307617,4019
1697369672202,-307617,4019
1697369672306,-307617,4019
1697369672412,-307617,4019
1697369672517,-245605,4019
1697369672620,-245605,4019
1697369672724,-245605,4019
1697369672829,-245605,4019
1697369672935,-245605,4019
1697369673040,-245605,4019
1697369673143,-245605,4019
1697369673248,-245605,4019
1697369673353,-245605,4019
1697369673457,-245605,4019
1697369673560,-245605,4019
1697369673672,-245605,4019
1697369673779,-245605,4019
1697369673886,-245605,4019
1697369673995,-215820,4019
1697369674098,-215820,4019
1697369674202,-215820,4019
1697369674306,-215820,4019
1697369674409,-215820,4019
1697369674521,-215820,4019
1697369674628,-215820,4019
1697369674736,-215820,4019
1697369674841,-215820,4019
1697369674948,-215820,4019
1697369675052,-215820,4019
1697369675155,-215820,4019
1697369675259,-215820,4019
1697369675363,-215820,4019
1697369675469,-343261,4019
1697369675576,-343261,4019
1697369675682,-343261,4019
1697369675796,-343261,4019
1697369675901,-343261,4019
1697369676004,-343261,4019
1697369676107,-343261,4019
1697369676213,-343261,4019
1697369676320,-343261,4019
1697369676424,-343261,4019
1697369676527,-343261,4019
1697369676630,-343261,4019
1697369676734,-343261,4019
1697369676837,-343261,4019
1697369676947,-321288,4019
1697369677057,-321288,4019
1697369677160,-321288,4019
1697369677263,-321288,4019
1697369677366,-321288,4019
1697369677470,-321288,4019
1697369677574,-321288,4019
1697369677685,-321288,4019
1697369677790,-321288,4019
1697369677894,-321288,4019
1697369678003,-321288,4019
1697369678107,-321288,4019
1697369678210,-321288,4019
1697369678313,-321288,4019
1697369678421,-258788,4019
1697369678528,-258788,4019
1697369678632,-258788,4019
1697369678737,-258788,4019
1697369678841,-258788,4019
1697369678944,-258788,4019
1697369679047,-258788,4019
1697369679150,-258788,4019
1697369679258,-258788,4019
1697369679365,-258788,4019
1697369679471,-258788,4019
1697369679581,-258788,4019
1697369679689,-258788,4019
1697369679793,-258788,4019
1697369679897,-332031,4019
1697369680000,-332031,4019
1697369680107,-332031,4019
1697369680210,-332031,4019
1697369680317,-332031,4019
1697369680423,-332031,4019
1697369680526,-332031,4019
1697369680629,-332031,4019
1697369680732,-332031,4019
1697369680837,-332031,4019
1697369680944,-332031,4019
1697369681054,-332031,4019
1697369681161,-332031,4019
1697369681264,-332031,4019
1697369681367,-408691,4019
1697369681469,-408691,4019
1697369681573,-408691,4019
1697369681680,-408691,4019
1697369681788,-408691,4019
1697369681895,-408691,4019
1697369681998,-408691,4019
1697369682102,-408691,4019
1697369682205,-408691,4019
1697369682308,-408691,4019
1697369682412,-408691,4019
1697369682515,-408691,4019
1697369682620,-408691,4019
1697369682730,-408691,4019
1697369682834,-256835,4019
1697369682938,-256835,4019
1697369683041,-256835,4019
1697369683144,-256835,4019
1697369683247,-256835,4019
1697369683352,-256835,4019
1697369683457,-256835,4019
1697369683560,-256835,4019
1697369683663,-256835,4019
1697369683768,-256835,4019
1697369683874,-256835,4019
1697369683979,-256835,4019
1697369684083,-256835,4019
1697369684186,-256835,4019
1697369684292,-256835,4019
1697369684400,-298827,4019
1697369684507,-298827,4019
1697369684610,-298827,4019
1697369684717,-298827,4019
1697369684820,-298827,4019
1697369684923,-298827,4019
1697369685026,-298827,4019
1697369685130,-298827,4019
1697369685233,-298827,4019
1697369685340,-298827,4019
1697369685447,-298827,4019
1697369685554,-298827,4019
1697369685660,-298827,4019
1697369685770,-140624,4019
1697369685883,-140624,4019
1697369685989,-140624,4019
1697369686093,-140624,4019
1697369686199,-140624,4019
1697369686309,-140624,4019
1697369686416,-140624,4019
1697369686522,-140624,4019
1697369686625,-140624,4019
1697369686728,-140624,4019
1697369686832,-140624,4019
1697369686939,-140624,4019
1697369687043,-140624,4019
1697369687149,-140624,4019
1697369687256,-213867,4019
1697369687362,-213867,4019
1697369687467,-213867,4019
1697369687571,-213867,4019
1697369687680,-213867,4019
1697369687786,-213867,4019
1697369687891,-213867,4019
1697369687994,-213867,4019
1697369688102,-213867,4019
1697369688208,-213867,4019
1697369688315,-213867,4019
1697369688423,-213867,4019
1697369688527,-213867,4019
1697369688631,-213867,4019
1697369688734,-278808,4019
1697369688838,-278808,4019
1697369688949,-278808,4019
1697369689056,-278808,4019
1697369689162,-278808,4019
1697369689269,-278808,4019
1697369689372,-278808,4019
1697369689476,-278808,4019
1697369689579,-278808,4019
1697369689685,-278808,4019
1697369689792,-278808,4019
1697369689897,-278808,4019
1697369690006,-278808,4019
1697369690109,-278808,4019
1697369690212,-435546,4019
1697369690315,-435546,4019
1697369690419,-435546,4019
1697369690527,-435546,4019
1697369690634,-435546,4019
1697369690737,-435546,4019
1697369690840,-435546,4019
1697369690944,-435546,4019
1697369691047,-435546,4019
1697369691150,-435546,4019
1697369691254,-435546,4019
1697369691358,-435546,4019
1697369691462,-435546,4019
1697369691569,-435546,4019
1697369691678,-311034,4019
1697369691782,-311034,4019
1697369691885,-311034,4019
1697369691988,-311034,4019
1697369692091,-311034,4019
1697369692198,-311034,4019
1697369692308,-311034,4019
1697369692412,-311034,4019
1697369692517,-311034,4019
1697369692620,-311034,4019
1697369692725,-311034,4019
1697369692828,-311034,4019
1697369692934,-311034,4019
1697369693040,-311034,4019
1697369693148,-311034,4019
1697369693255,-229980,4019
1697369693362,-229980,4019
1697369693466,-229980,4019
1697369693569,-229980,4019
1697369693673,-229980,4019
1697369693778,-229980,4019
1697369693887,-229980,4019
1697369693995,-229980,4019
1697369694102,-229980,4019
1697369694205,-229980,4019
1697369694308,-229980,4019
1697369694413,-229980,4019
1697369694516,-229980,4019
1697369694619,-229980,4019
1697369694726,-269531,4019
1697369694837,-269531,4019
1697369694942,-269531,4019
1697369695047,-269531,4019
1697369695152,-269531,4019
1697369695255,-269531,4019
1697369695361,-269531,4019
1697369695468,-269531,4019
1697369695576,-269531,4019
1697369695682,-269531,4019
1697369695786,-269531,4019
1697369695890,-269531,4019
1697369695994,-269531,4019
1697369696097,-269531,4019
1697369696201,-429687,4019
1697369696307,-429687,4019
1697369696416,-429687,4019
1697369696523,-429687,4019
1697369696630,-429687,4019
1697369696738,-429687,4019
1697369696842,-429687,4019
1697369696945,-429687,4019
1697369697048,-429687,4019
1697369697151,-429687,4019
1697369697256,-429687,4019
1697369697363,-429687,4019
1697369697469,-429687,4019
1697369697574,-429687,4019
1697369697677,-312988,4019
1697369697781,-312988,4019
1697369697887,-312988,4019
1697369698001,-312988,4019
1697369698103,-312988,4019
1697369698207,-312988,4019
1697369698316,-312988,4019
1697369698422,-312988,4019
1697369698526,-312988,4019
1697369698633,-312988,4019
1697369698742,-312988,4019
1697369698849,-312988,4019
1697369698956,-312988,4019
1697369699062,-298339,4019
1697369699169,-298339,4019
1697369699272,-298339,4019
1697369699376,-298339,4019
1697369699481,-298339,4019
1697369699599,-298339,4019
1697369699707,-298339,4019
1697369699813,-298339,4019
1697369699919,-298339,4019
1697369700023,-298339,4019
1697369700126,-298339,4019
1697369700229,-298339,4019
1697369700334,-298339,4019
1697369700441,-298339,4019
1697369700547,-203613,4019
1697369700652,-203613,4019
1697369700755,-203613,4019
1697369700858,-203613,4019
1697369700961,-203613,4019
1697369701065,-203613,4019
1697369701172,-203613,4019
1697369701278,-203613,4019
1697369701382,-203613,4019
1697369701488,-203613,4019
1697369701595,-203613,4019
1697369701701,-203613,4019
1697369701804,-203613,4019
1697369701907,-203613,4019
1697369702010,-359374,4019
1697369702115,-359374,4019
1697369702221,-359374,4019
1697369702327,-359374,4019
1697369702431,-359374,4019
1697369702539,-359374,4019
1697369702642,-359374,4019
1697369702746,-359374,4019
1697369702848,-359374,4019
1697369702955,-359374,4019
1697369703063,-359374,4019
1697369703166,-359374,4019
1697369703270,-359374,4019
1697369703373,-359374,4019
1697369703476,-359374,4019
1697369703580,-362304,4019
1697369703686,-362304,4019
1697369703793,-362304,4019
1697369703901,-362304,4019
1697369704005,-362304,4019
1697369704111,-362304,4019
1697369704214,-362304,4019
1697369704317,-362304,4019
1697369704422,-362304,4019
1697369704529,-362304,4019
1697369704635,-362304,4019
1697369704738,-362304,4019
1697369704842,-362304,4019
1697369704951,-362304,4019
1697369705054,-336913,4019
1697369705157,-336913,4019
1697369705260,-336913,4019
1697369705367,-336913,4019
1697369705474,-336913,4019
1697369705578,-336913,4019
1697369705681,-336913,4019
1697369705784,-336913,4019
1697369705887,-336913,4019
1697369705994,-336913,4019
1697369706099,-336913,4019
1697369706205,-336913,4019
1697369706308,-336913,4019
1697369706411,-336913,4019
1697369706514,-268554,4019
1697369706617,-268554,4019
1697369706720,-268554,4019
1697369706825,-268554,4019
1697369706930,-268554,4019
1697369707037,-268554,4019
1697369707144,-268554,4019
1697369707249,-268554,4019
1697369707352,-268554,4019
1697369707456,-268554,4019
1697369707560,-268554,4019
1697369707665,-268554,4019
1697369707773,-268554,4019
1697369707878,-268554,4019
1697369707986,-297851,4019
1697369708090,-297851,4019
1697369708193,-297851,4019
1697369708297,-297851,4019
1697369708402,-297851,4019
1697369708508,-297851,4019
1697369708616,-297851,4019
1697369708722,-297851,4019
1697369708838,-297851,4019
1697369708941,-297851,4019
1697369709044,-297851,4019
1697369709148,-297851,4019
1697369709251,-297851,4019
1697369709360,-297851,4019
1697369709471,-275878,4019
1697369709577,-275878,4019
1697369709684,-275878,4019
1697369709788,-275878,4019
1697369709891,-275878,4019
1697369709994,-275878,4019
1697369710101,-275878,4019
1697369710227,-275878,4019
1697369710332,-275878,4019
1697369710435,-275878,4019
1697369710538,-275878,4019
1697369710646,-275878,4019
1697369710749,-275878,4019
1697369710852,-275878,4019
1697369710958,-261230,4019
1697369711063,-261230,4019
1697369711169,-261230,4019
1697369711277,-261230,4019
1697369711383,-261230,4019
1697369711487,-261230,4019
1697369711590,-261230,4019
1697369711696,-261230,4019
1697369711803,-261230,4019
1697369711911,-261230,4019
1697369712014,-261230,4019
1697369712120,-261230,4019
1697369712229,-261230,4019
1697369712333,-261230,4019
1697369712435,-293945,4019
1697369712541,-293945,4019
1697369712646,-293945,4019
1697369712749,-293945,4019
1697369712852,-293945,4019
1697369712958,-293945,4019
1697369713061,-293945,4019
1697369713164,-293945,4019
1697369713267,-293945,4019
1697369713374,-293945,4019
1697369713481,-293945,4019
1697369713584,-293945,4019
1697369713687,-293945,4019
1697369713793,-293945,4019
1697369713896,-412597,4019
1697369713999,-412597,4019
1697369714104,-412597,4019
1697369714210,-412597,4019
1697369714319,-412597,4019
1697369714425,-412597,4019
1697369714530,-412597,4019
1697369714633,-412597,4019
1697369714736,-412597,4019
1697369714840,-412597,4019
1697369714943,-412597,4019
1697369715048,-412597,4019
1697369715157,-412597,4019
1697369715262,-412597,4019
1697369715369,-310058,4019
1697369715475,-310058,4019
1697369715578,-310058,4019
1697369715681,-310058,4019
1697369715784,-310058,4019
1697369715890,-310058,4019
1697369715996,-310058,4019
1697369716106,-310058,4019
1697369716209,-310058,4019
1697369716312,-310058,4019
1697369716416,-310058,4019
1697369716520,-310058,4019
1697369716626,-310058,4019
1697369716732,-310058,4019
1697369716835,-225585,4019
1697369716939,-225585,4019
1697369717042,-225585,4019
1697369717145,-225585,4019
1697369717248,-225585,4019
1697369717351,-225585,4019
1697369717457,-225585,4019
1697369717565,-225585,4019
1697369717677,-225585,4019
1697369717786,-225585,4019
1697369717889,-225585,4019
1697369717992,-225585,4019
1697369718095,-225585,4019
1697369718199,-225585,4019
1697369718305,-347167,4019
1697369718408,-347167,4019
1697369718510,-347167,4019
1697369718615,-347167,4019
1697369718719,-347167,4019
1697369718822,-347167,4019
1697369718928,-347167,4019
1697369719035,-347167,4019
1697369719145,-347167,4019
1697369719248,-347167,4019
1697369719350,-347167,4019
1697369719454,-347167,4019
1697369719557,-347167,4019
1697369719660,-347167,4019
1697369719766,-330077,4019
1697369719879,-330077,4019
1697369719983,-330077,4019
1697369720095,-330077,4019
1697369720198,-330077,4019
1697369720301,-330077,4019
1697369720405,-330077,4019
1697369720511,-330077,4019
1697369720619,-330077,4019
1697369720722,-330077,4019
1697369720826,-330077,4019
1697369720930,-330077,4019
1697369721035,-330077,4019
1697369721138,-330077,4019
1697369721242,-341796,4019
1697369721349,-341796,4019
1697369721458,-341796,4019
1697369721562,-341796,4019
1697369721665,-341796,4019
1697369721767,-341796,4019
1697369721874,-341796,4019
1697369721978,-341796,4019
1697369722086,-341796,4019
1697369722192,-341796,4019
1697369722298,-341796,4019
1697369722405,-341796,4019
1697369722512,-341796,4019
1697369722623,-341796,4019
1697369722734,-129882,4019
1697369722841,-129882,4019
1697369722949,-129882,4019
1697369723064,-129882,4019
1697369723169,-129882,4019
1697369723272,-129882,4019
1697369723376,-129882,4019
1697369723484,-129882,4019
1697369723590,-129882,4019
1697369723696,-129882,4019
1697369723801,-129882,4019
1697369723905,-129882,4019
1697369724007,-129882,4019
1697369724110,-129882,4019
1697369724215,-362304,4019
1697369724326,-362304,4019
1697369724430,-362304,4019
1697369724533,-362304,4019
1697369724636,-362304,4019
1697369724739,-362304,4019
1697369724843,-362304,4019
1697369724946,-362304,4019
1697369725052,-362304,4019
1697369725160,-362304,4019
1697369725264,-362304,4019
1697369725367,-362304,4019
1697369725471,-362304,4019
1697369725578,-362304,4019
1697369725681,-339843,4019
1697369725784,-339843,4019
1697369725890,-339843,4019
