datetime,cpu,mem
Sun Oct 15 15:06:16 UTC 2023,2.6,73001
Sun Oct 15 15:06:16 UTC 2023,2.6,72702
Sun Oct 15 15:06:17 UTC 2023,2.6,73585
Sun Oct 15 15:06:18 UTC 2023,2.6,74350
Sun Oct 15 15:06:19 UTC 2023,2.6,74269
Sun Oct 15 15:06:19 UTC 2023,2.6,74185
Sun Oct 15 15:06:20 UTC 2023,2.6,74157
Sun Oct 15 15:06:21 UTC 2023,2.6,74159
Sun Oct 15 15:06:22 UTC 2023,2.6,74162
Sun Oct 15 15:06:23 UTC 2023,2.6,74157
Sun Oct 15 15:06:23 UTC 2023,2.6,74160
Sun Oct 15 15:06:24 UTC 2023,2.6,74156
Sun Oct 15 15:06:25 UTC 2023,2.6,74160
Sun Oct 15 15:06:26 UTC 2023,2.6,74156
Sun Oct 15 15:06:27 UTC 2023,2.6,74169
Sun Oct 15 15:06:27 UTC 2023,6.7,74161
Sun Oct 15 15:06:28 UTC 2023,6.7,74165
Sun Oct 15 15:06:29 UTC 2023,6.7,74157
Sun Oct 15 15:06:30 UTC 2023,6.7,74165
Sun Oct 15 15:06:31 UTC 2023,6.7,74161
Sun Oct 15 15:06:32 UTC 2023,6.7,74485
Sun Oct 15 15:06:32 UTC 2023,6.7,74366
Sun Oct 15 15:06:33 UTC 2023,6.7,74314
Sun Oct 15 15:06:34 UTC 2023,6.7,74306
Sun Oct 15 15:06:35 UTC 2023,6.7,74298
Sun Oct 15 15:06:35 UTC 2023,6.7,74302
Sun Oct 15 15:06:36 UTC 2023,6.7,74310
Sun Oct 15 15:06:37 UTC 2023,6.7,74314
Sun Oct 15 15:06:38 UTC 2023,6.7,74310
Sun Oct 15 15:06:39 UTC 2023,6.7,74314
Sun Oct 15 15:06:40 UTC 2023,6.7,74310
Sun Oct 15 15:06:41 UTC 2023,6.7,74314
Sun Oct 15 15:06:41 UTC 2023,6.7,74316
Sun Oct 15 15:06:42 UTC 2023,6.7,74320
Sun Oct 15 15:06:43 UTC 2023,6.7,74316
Sun Oct 15 15:06:43 UTC 2023,6.7,74320
Sun Oct 15 15:06:44 UTC 2023,6.7,74316
Sun Oct 15 15:06:45 UTC 2023,6.7,74300
Sun Oct 15 15:06:47 UTC 2023,6.7,74300
Sun Oct 15 15:06:48 UTC 2023,6.7,74304
Sun Oct 15 15:06:49 UTC 2023,6.7,74300
Sun Oct 15 15:06:49 UTC 2023,6.7,74304
Sun Oct 15 15:06:50 UTC 2023,6.7,74300
Sun Oct 15 15:06:51 UTC 2023,6.7,74300
Sun Oct 15 15:06:52 UTC 2023,6.7,74300
Sun Oct 15 15:06:53 UTC 2023,6.7,74304
Sun Oct 15 15:06:53 UTC 2023,6.7,74300
Sun Oct 15 15:06:54 UTC 2023,6.7,74304
Sun Oct 15 15:06:55 UTC 2023,6.7,74300
Sun Oct 15 15:06:56 UTC 2023,6.7,74304
Sun Oct 15 15:06:57 UTC 2023,8.8,74304
Sun Oct 15 15:06:58 UTC 2023,8.8,74308
Sun Oct 15 15:06:59 UTC 2023,8.8,74304
Sun Oct 15 15:07:00 UTC 2023,8.8,74316
Sun Oct 15 15:07:01 UTC 2023,8.8,74311
Sun Oct 15 15:07:02 UTC 2023,8.8,74311
Sun Oct 15 15:07:03 UTC 2023,8.8,74311
Sun Oct 15 15:07:04 UTC 2023,8.8,74315
Sun Oct 15 15:07:05 UTC 2023,8.8,74311
Sun Oct 15 15:07:05 UTC 2023,8.8,74315
Sun Oct 15 15:07:06 UTC 2023,8.8,74311
Sun Oct 15 15:07:07 UTC 2023,8.8,74315
Sun Oct 15 15:07:07 UTC 2023,8.8,74307
Sun Oct 15 15:07:08 UTC 2023,8.8,74315
Sun Oct 15 15:07:09 UTC 2023,8.8,74311
Sun Oct 15 15:07:10 UTC 2023,8.8,74315
Sun Oct 15 15:07:11 UTC 2023,8.8,74311
Sun Oct 15 15:07:12 UTC 2023,8.8,74315
Sun Oct 15 15:07:12 UTC 2023,8.8,74311
Sun Oct 15 15:07:13 UTC 2023,8.8,74315
Sun Oct 15 15:07:14 UTC 2023,8.8,74311
Sun Oct 15 15:07:15 UTC 2023,8.8,74302
Sun Oct 15 15:07:15 UTC 2023,8.8,74298
Sun Oct 15 15:07:16 UTC 2023,8.8,74302
Sun Oct 15 15:07:17 UTC 2023,8.8,74298
Sun Oct 15 15:07:18 UTC 2023,8.8,74302
Sun Oct 15 15:07:18 UTC 2023,8.8,74294
Sun Oct 15 15:07:19 UTC 2023,8.8,74302
Sun Oct 15 15:07:20 UTC 2023,8.8,74298
Sun Oct 15 15:07:21 UTC 2023,8.8,74302
Sun Oct 15 15:07:22 UTC 2023,8.8,74298
Sun Oct 15 15:07:22 UTC 2023,8.8,74302
Sun Oct 15 15:07:23 UTC 2023,8.8,74298
Sun Oct 15 15:07:24 UTC 2023,8.8,74298
Sun Oct 15 15:07:25 UTC 2023,8.8,74298
Sun Oct 15 15:07:25 UTC 2023,8.8,74302
Sun Oct 15 15:07:26 UTC 2023,8.8,74298
Sun Oct 15 15:07:27 UTC 2023,9.4,74302
Sun Oct 15 15:07:28 UTC 2023,9.4,74298
Sun Oct 15 15:07:29 UTC 2023,9.4,74302
Sun Oct 15 15:07:29 UTC 2023,9.4,74294
Sun Oct 15 15:07:30 UTC 2023,9.4,74302
Sun Oct 15 15:07:31 UTC 2023,9.4,74298
Sun Oct 15 15:07:32 UTC 2023,9.4,74302
Sun Oct 15 15:07:32 UTC 2023,9.4,74298
Sun Oct 15 15:07:33 UTC 2023,9.4,74302
Sun Oct 15 15:07:34 UTC 2023,9.4,74298
Sun Oct 15 15:07:35 UTC 2023,9.4,74298
Sun Oct 15 15:07:35 UTC 2023,9.4,74354
Sun Oct 15 15:07:36 UTC 2023,9.4,74358
Sun Oct 15 15:07:37 UTC 2023,9.4,74354
Sun Oct 15 15:07:38 UTC 2023,9.4,74358
Sun Oct 15 15:07:39 UTC 2023,9.4,74354
Sun Oct 15 15:07:40 UTC 2023,9.4,74358
Sun Oct 15 15:07:40 UTC 2023,9.4,74354
Sun Oct 15 15:07:41 UTC 2023,9.4,74430
Sun Oct 15 15:07:42 UTC 2023,9.4,74370
Sun Oct 15 15:07:43 UTC 2023,9.4,74374
Sun Oct 15 15:07:44 UTC 2023,9.4,74370
Sun Oct 15 15:07:45 UTC 2023,9.4,74374
Sun Oct 15 15:07:46 UTC 2023,9.4,74362
Sun Oct 15 15:07:47 UTC 2023,9.4,74370
Sun Oct 15 15:07:48 UTC 2023,9.4,74366
Sun Oct 15 15:07:49 UTC 2023,9.4,74370
Sun Oct 15 15:07:50 UTC 2023,9.4,74366
Sun Oct 15 15:07:50 UTC 2023,9.4,74374
Sun Oct 15 15:07:51 UTC 2023,9.4,74366
Sun Oct 15 15:07:52 UTC 2023,9.4,74366
Sun Oct 15 15:07:53 UTC 2023,9.4,74366
Sun Oct 15 15:07:53 UTC 2023,9.4,74370
Sun Oct 15 15:07:54 UTC 2023,9.4,74366
Sun Oct 15 15:07:55 UTC 2023,9.4,74370
Sun Oct 15 15:07:56 UTC 2023,9.4,74366
Sun Oct 15 15:07:57 UTC 2023,9.4,74370
Sun Oct 15 15:07:58 UTC 2023,9.4,74362
Sun Oct 15 15:07:58 UTC 2023,9.4,74370
Sun Oct 15 15:07:59 UTC 2023,9.4,74370
Sun Oct 15 15:08:00 UTC 2023,9.4,74370
Sun Oct 15 15:08:01 UTC 2023,9.4,74366
Sun Oct 15 15:08:02 UTC 2023,9.4,74370
Sun Oct 15 15:08:03 UTC 2023,9.4,74366
Sun Oct 15 15:08:04 UTC 2023,9.4,74370
Sun Oct 15 15:08:04 UTC 2023,9.4,74366
Sun Oct 15 15:08:05 UTC 2023,9.4,74370
Sun Oct 15 15:08:06 UTC 2023,9.4,74366
Sun Oct 15 15:08:07 UTC 2023,9.4,74370
Sun Oct 15 15:08:07 UTC 2023,9.4,74366
Sun Oct 15 15:08:08 UTC 2023,9.4,74370
Sun Oct 15 15:08:09 UTC 2023,9.4,74362
Sun Oct 15 15:08:10 UTC 2023,9.4,74370
Sun Oct 15 15:08:11 UTC 2023,9.4,74366
Sun Oct 15 15:08:11 UTC 2023,9.4,74370
Sun Oct 15 15:08:12 UTC 2023,9.4,74365
Sun Oct 15 15:08:13 UTC 2023,9.4,74369
Sun Oct 15 15:08:14 UTC 2023,9.4,74365
Sun Oct 15 15:08:14 UTC 2023,9.4,74365
Sun Oct 15 15:08:15 UTC 2023,9.4,74337
Sun Oct 15 15:08:16 UTC 2023,9.4,74321
Sun Oct 15 15:08:17 UTC 2023,9.4,74317
Sun Oct 15 15:08:18 UTC 2023,9.4,74321
Sun Oct 15 15:08:18 UTC 2023,9.4,74317
Sun Oct 15 15:08:19 UTC 2023,9.4,74321
Sun Oct 15 15:08:20 UTC 2023,9.4,74313
Sun Oct 15 15:08:21 UTC 2023,9.4,74321
Sun Oct 15 15:08:22 UTC 2023,9.4,74317
Sun Oct 15 15:08:22 UTC 2023,9.4,74321
Sun Oct 15 15:08:23 UTC 2023,9.4,74317
Sun Oct 15 15:08:24 UTC 2023,9.4,74321
Sun Oct 15 15:08:25 UTC 2023,9.4,74317
Sun Oct 15 15:08:26 UTC 2023,9.4,74317
Sun Oct 15 15:08:26 UTC 2023,9.4,74317
Sun Oct 15 15:08:27 UTC 2023,9.2,74321
Sun Oct 15 15:08:28 UTC 2023,9.2,74317
Sun Oct 15 15:08:29 UTC 2023,9.2,74321
Sun Oct 15 15:08:29 UTC 2023,9.2,74317
Sun Oct 15 15:08:30 UTC 2023,9.2,74321
Sun Oct 15 15:08:31 UTC 2023,9.2,74313
Sun Oct 15 15:08:32 UTC 2023,9.2,74325
Sun Oct 15 15:08:33 UTC 2023,9.2,74317
Sun Oct 15 15:08:34 UTC 2023,9.2,74321
Sun Oct 15 15:08:34 UTC 2023,9.2,74317
Sun Oct 15 15:08:35 UTC 2023,9.2,74321
Sun Oct 15 15:08:36 UTC 2023,9.2,74317
Sun Oct 15 15:08:37 UTC 2023,9.2,74317
Sun Oct 15 15:08:37 UTC 2023,9.2,74317
Sun Oct 15 15:08:38 UTC 2023,9.2,74321
Sun Oct 15 15:08:39 UTC 2023,9.2,74317
Sun Oct 15 15:08:40 UTC 2023,9.2,74321
Sun Oct 15 15:08:41 UTC 2023,9.2,74317
Sun Oct 15 15:08:41 UTC 2023,9.2,74321
Sun Oct 15 15:08:42 UTC 2023,9.2,74313
Sun Oct 15 15:08:43 UTC 2023,9.2,74321
Sun Oct 15 15:08:44 UTC 2023,9.2,74317
Sun Oct 15 15:08:44 UTC 2023,9.2,74321
Sun Oct 15 15:08:45 UTC 2023,9.2,74317
Sun Oct 15 15:08:47 UTC 2023,9.2,74321
Sun Oct 15 15:08:48 UTC 2023,9.2,74317
Sun Oct 15 15:08:49 UTC 2023,9.2,74381
Sun Oct 15 15:08:49 UTC 2023,9.2,74337
Sun Oct 15 15:08:50 UTC 2023,9.2,74317
Sun Oct 15 15:08:51 UTC 2023,9.2,74321
Sun Oct 15 15:08:52 UTC 2023,9.2,74317
Sun Oct 15 15:08:53 UTC 2023,9.2,74317
Sun Oct 15 15:08:53 UTC 2023,9.2,74317
Sun Oct 15 15:08:54 UTC 2023,9.2,74321
Sun Oct 15 15:08:55 UTC 2023,9.2,74317
Sun Oct 15 15:08:56 UTC 2023,9.2,74321
Sun Oct 15 15:08:57 UTC 2023,9.2,74317
Sun Oct 15 15:08:57 UTC 2023,9.2,74321
Sun Oct 15 15:08:58 UTC 2023,9.2,74313
Sun Oct 15 15:08:59 UTC 2023,9.2,74321
Sun Oct 15 15:09:00 UTC 2023,9.2,74321
Sun Oct 15 15:09:01 UTC 2023,9.2,74321
Sun Oct 15 15:09:01 UTC 2023,9.2,74317
Sun Oct 15 15:09:02 UTC 2023,9.2,74321
Sun Oct 15 15:09:03 UTC 2023,9.2,74317
Sun Oct 15 15:09:04 UTC 2023,9.2,74317
Sun Oct 15 15:09:04 UTC 2023,9.2,74317
Sun Oct 15 15:09:05 UTC 2023,9.2,74321
Sun Oct 15 15:09:06 UTC 2023,9.2,74317
Sun Oct 15 15:09:07 UTC 2023,9.2,74321
Sun Oct 15 15:09:08 UTC 2023,9.2,74317
Sun Oct 15 15:09:09 UTC 2023,9.2,74321
Sun Oct 15 15:09:09 UTC 2023,9.2,74313
Sun Oct 15 15:09:10 UTC 2023,9.2,74321
Sun Oct 15 15:09:11 UTC 2023,9.2,74317
Sun Oct 15 15:09:12 UTC 2023,9.2,74321
Sun Oct 15 15:09:12 UTC 2023,9.2,74317
Sun Oct 15 15:09:13 UTC 2023,9.2,74321
Sun Oct 15 15:09:14 UTC 2023,9.2,74317
Sun Oct 15 15:09:15 UTC 2023,9.2,74317
Sun Oct 15 15:09:16 UTC 2023,9.2,74317
Sun Oct 15 15:09:16 UTC 2023,9.2,74321
Sun Oct 15 15:09:17 UTC 2023,9.2,74316
Sun Oct 15 15:09:18 UTC 2023,9.2,74320
Sun Oct 15 15:09:19 UTC 2023,9.2,74316
Sun Oct 15 15:09:19 UTC 2023,9.2,74320
Sun Oct 15 15:09:20 UTC 2023,9.2,74312
Sun Oct 15 15:09:21 UTC 2023,9.2,74320
Sun Oct 15 15:09:22 UTC 2023,9.2,74316
Sun Oct 15 15:09:23 UTC 2023,9.2,73604
Sun Oct 15 15:09:24 UTC 2023,9.2,73600
Sun Oct 15 15:09:24 UTC 2023,9.2,73604
Sun Oct 15 15:09:25 UTC 2023,9.2,73600
Sun Oct 15 15:09:26 UTC 2023,9.2,73604
Sun Oct 15 15:09:27 UTC 2023,9.2,73600
Sun Oct 15 15:09:28 UTC 2023,9,73604
Sun Oct 15 15:09:29 UTC 2023,9,73600
Sun Oct 15 15:09:29 UTC 2023,9,73604
Sun Oct 15 15:09:30 UTC 2023,9,73600
Sun Oct 15 15:09:31 UTC 2023,9,73604
Sun Oct 15 15:09:31 UTC 2023,9,73596
Sun Oct 15 15:09:32 UTC 2023,9,73604
Sun Oct 15 15:09:33 UTC 2023,9,73600
Sun Oct 15 15:09:34 UTC 2023,9,73604
Sun Oct 15 15:09:34 UTC 2023,9,73600
Sun Oct 15 15:09:35 UTC 2023,9,73604
Sun Oct 15 15:09:36 UTC 2023,9,73600
Sun Oct 15 15:09:37 UTC 2023,9,73600
Sun Oct 15 15:09:38 UTC 2023,9,73600
Sun Oct 15 15:09:39 UTC 2023,9,73604
Sun Oct 15 15:09:40 UTC 2023,9,73600
Sun Oct 15 15:09:41 UTC 2023,9,73604
Sun Oct 15 15:09:42 UTC 2023,9,73600
Sun Oct 15 15:09:43 UTC 2023,9,73604
Sun Oct 15 15:09:43 UTC 2023,9,73600
Sun Oct 15 15:09:45 UTC 2023,9,73604
Sun Oct 15 15:09:46 UTC 2023,9,73600
Sun Oct 15 15:09:48 UTC 2023,9,73604
Sun Oct 15 15:09:49 UTC 2023,9,73600
Sun Oct 15 15:09:49 UTC 2023,9,73604
Sun Oct 15 15:09:50 UTC 2023,9,73604
Sun Oct 15 15:09:51 UTC 2023,9,73604
Sun Oct 15 15:09:52 UTC 2023,9,73600
Sun Oct 15 15:09:53 UTC 2023,9,73604
Sun Oct 15 15:09:53 UTC 2023,9,73600
Sun Oct 15 15:09:54 UTC 2023,9,73604
Sun Oct 15 15:09:55 UTC 2023,9,73600
Sun Oct 15 15:09:56 UTC 2023,9,73604
Sun Oct 15 15:09:57 UTC 2023,9,73600
Sun Oct 15 15:09:57 UTC 2023,9,73604
Sun Oct 15 15:09:58 UTC 2023,9,73600
Sun Oct 15 15:09:59 UTC 2023,9,73600
Sun Oct 15 15:10:00 UTC 2023,9,73604
Sun Oct 15 15:10:01 UTC 2023,9,73604
Sun Oct 15 15:10:01 UTC 2023,9,73600
Sun Oct 15 15:10:02 UTC 2023,9,73604
Sun Oct 15 15:10:03 UTC 2023,9,73600
