Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697396587446,-503417,3673
1697396587552,-503417,3673
1697396587657,-503417,3673
1697396587762,-503417,3673
1697396587865,-503417,3673
1697396587973,-503417,3673
1697396588077,-503417,3673
1697396588184,-503417,3673
1697396588288,-503417,3673
1697396588391,-503417,3673
1697396588495,-375976,3673
1697396588598,-375976,3673
1697396588703,-375976,3673
1697396588806,-375976,3673
1697396588910,-375976,3673
1697396589014,-375976,3673
1697396589117,-375976,3673
1697396589221,-375976,3673
1697396589325,-375976,3673
1697396589428,-375976,3673
1697396589534,-375976,3673
1697396589638,-375976,3673
1697396589742,-375976,3673
1697396589845,-375976,3673
1697396589949,-392089,3673
1697396590053,-392089,3673
1697396590157,-392089,3673
1697396590261,-392089,3673
1697396590364,-392089,3673
1697396590468,-392089,3673
1697396590572,-392089,3673
1697396590675,-392089,3673
1697396590780,-392089,3673
1697396590883,-392089,3673
1697396590986,-392089,3673
1697396591091,-392089,3673
1697396591194,-392089,3673
1697396591298,-392089,3673
1697396591402,-423827,3673
1697396591505,-423827,3673
1697396591608,-423827,3673
1697396591713,-423827,3673
1697396591821,-423827,3673
1697396591926,-423827,3673
1697396592031,-423827,3673
1697396592134,-423827,3673
1697396592237,-423827,3673
1697396592341,-423827,3673
1697396592444,-423827,3673
1697396592552,-423827,3673
1697396592658,-423827,3673
1697396592763,-423827,3673
1697396592867,-264160,3673
1697396592971,-264160,3673
1697396593074,-264160,3673
1697396593177,-264160,3673
1697396593284,-264160,3673
1697396593399,-264160,3673
1697396593506,-264160,3673
1697396593614,-264160,3673
1697396593718,-264160,3673
1697396593821,-264160,3673
1697396593925,-264160,3673
1697396594032,-264160,3673
1697396594147,-264160,3673
1697396594273,-264160,3673
1697396594377,-298339,3673
1697396594481,-298339,3673
1697396594584,-298339,3673
1697396594689,-298339,3673
1697396594794,-298339,3673
1697396594898,-298339,3673
1697396595004,-298339,3673
1697396595107,-298339,3673
1697396595214,-298339,3673
1697396595318,-298339,3673
1697396595422,-298339,3673
1697396595525,-298339,3673
1697396595630,-298339,3673
1697396595733,-298339,3673
1697396595837,-524902,3673
1697396595942,-524902,3673
1697396596046,-524902,3673
1697396596150,-524902,3673
1697396596255,-524902,3673
1697396596362,-524902,3673
1697396596465,-524902,3673
1697396596574,-524902,3673
1697396596682,-524902,3673
1697396596787,-524902,3673
1697396596892,-524902,3673
1697396596995,-524902,3673
1697396597106,-524902,3673
1697396597210,-524902,3673
1697396597314,-362304,3673
1697396597418,-362304,3673
1697396597522,-362304,3673
1697396597626,-362304,3673
1697396597729,-362304,3673
1697396597832,-362304,3673
1697396597937,-362304,3673
1697396598040,-362304,3673
1697396598143,-362304,3673
1697396598247,-362304,3673
1697396598351,-362304,3673
1697396598456,-362304,3673
1697396598562,-362304,3673
1697396598665,-362304,3673
1697396598769,-454589,3673
1697396598875,-454589,3673
1697396598982,-454589,3673
1697396599088,-454589,3673
1697396599193,-454589,3673
1697396599298,-454589,3673
1697396599402,-454589,3673
1697396599505,-454589,3673
1697396599609,-454589,3673
1697396599713,-454589,3673
1697396599818,-454589,3673
1697396599922,-454589,3673
1697396600026,-454589,3673
1697396600129,-454589,3673
1697396600232,-445800,3673
1697396600337,-445800,3673
1697396600439,-445800,3673
1697396600542,-445800,3673
1697396600646,-445800,3673
1697396600751,-445800,3673
1697396600856,-445800,3673
1697396600960,-445800,3673
1697396601066,-445800,3673
1697396601170,-445800,3673
1697396601277,-445800,3673
1697396601380,-445800,3673
1697396601483,-445800,3673
1697396601586,-445800,3673
1697396601690,-386718,3673
1697396601794,-386718,3673
1697396601899,-386718,3673
1697396602004,-386718,3673
1697396602110,-386718,3673
1697396602216,-386718,3673
1697396602322,-386718,3673
1697396602425,-386718,3673
1697396602528,-386718,3673
1697396602632,-386718,3673
1697396602736,-386718,3673
1697396602839,-386718,3673
1697396602944,-386718,3673
1697396603049,-386718,3673
1697396603153,-473632,3673
1697396603258,-473632,3673
1697396603361,-473632,3673
1697396603469,-473632,3673
1697396603573,-473632,3673
1697396603677,-473632,3673
1697396603780,-473632,3673
1697396603885,-473632,3673
1697396603992,-473632,3673
1697396604099,-473632,3673
1697396604203,-473632,3673
