datetime,cpu,mem
Wed Oct 18 19:05:03 UTC 2023,8.5,262882
Wed Oct 18 19:05:04 UTC 2023,8.5,241093
Wed Oct 18 19:05:04 UTC 2023,8.5,232600
Wed Oct 18 19:05:05 UTC 2023,8.5,233420
Wed Oct 18 19:05:06 UTC 2023,8.5,232584
Wed Oct 18 19:05:06 UTC 2023,8.5,232109
Wed Oct 18 19:05:07 UTC 2023,8.5,232307
Wed Oct 18 19:05:08 UTC 2023,8.5,232189
Wed Oct 18 19:05:08 UTC 2023,8.5,231609
Wed Oct 18 19:05:09 UTC 2023,8.5,231595
Wed Oct 18 19:05:09 UTC 2023,8.5,231588
Wed Oct 18 19:05:10 UTC 2023,8.5,231525
Wed Oct 18 19:05:11 UTC 2023,8.5,231507
Wed Oct 18 19:05:12 UTC 2023,8.5,231615
Wed Oct 18 19:05:12 UTC 2023,8.5,231519
Wed Oct 18 19:05:13 UTC 2023,8.5,231439
Wed Oct 18 19:05:14 UTC 2023,8.5,231559
Wed Oct 18 19:05:14 UTC 2023,8.5,231415
Wed Oct 18 19:05:15 UTC 2023,8.5,231407
Wed Oct 18 19:05:16 UTC 2023,8.5,231411
Wed Oct 18 19:05:17 UTC 2023,8.5,231426
Wed Oct 18 19:05:18 UTC 2023,8.5,231311
Wed Oct 18 19:05:18 UTC 2023,8.5,230963
Wed Oct 18 19:05:19 UTC 2023,8.5,230823
Wed Oct 18 19:05:19 UTC 2023,8.5,230735
Wed Oct 18 19:05:20 UTC 2023,8.5,230619
Wed Oct 18 19:05:21 UTC 2023,8.5,230531
Wed Oct 18 19:05:22 UTC 2023,8.5,230495
Wed Oct 18 19:05:23 UTC 2023,8.5,230499
Wed Oct 18 19:05:23 UTC 2023,8.5,230507
Wed Oct 18 19:05:25 UTC 2023,8.5,230499
Wed Oct 18 19:05:26 UTC 2023,8.5,230495
Wed Oct 18 19:05:27 UTC 2023,8.5,230499
Wed Oct 18 19:05:28 UTC 2023,8.5,230495
Wed Oct 18 19:05:28 UTC 2023,8.5,230499
Wed Oct 18 19:05:29 UTC 2023,8.5,230507
Wed Oct 18 19:05:29 UTC 2023,8.5,230499
Wed Oct 18 19:05:30 UTC 2023,8.5,230495
Wed Oct 18 19:05:31 UTC 2023,8.5,230561
Wed Oct 18 19:05:31 UTC 2023,8.5,230565
Wed Oct 18 19:05:32 UTC 2023,8.5,230901
Wed Oct 18 19:05:32 UTC 2023,8.5,230049
Wed Oct 18 19:05:33 UTC 2023,8.5,230041
Wed Oct 18 19:05:34 UTC 2023,8.5,230162
Wed Oct 18 19:05:34 UTC 2023,8.5,230062
Wed Oct 18 19:05:35 UTC 2023,8.5,230046
Wed Oct 18 19:05:36 UTC 2023,8.5,230050
Wed Oct 18 19:05:36 UTC 2023,8.5,230046
Wed Oct 18 19:05:37 UTC 2023,8.5,230050
Wed Oct 18 19:05:37 UTC 2023,8.5,230050
Wed Oct 18 19:05:38 UTC 2023,8.5,230050
Wed Oct 18 19:05:39 UTC 2023,8.5,230057
Wed Oct 18 19:05:39 UTC 2023,8.5,230049
Wed Oct 18 19:05:40 UTC 2023,8.5,228969
Wed Oct 18 19:05:41 UTC 2023,8.5,228973
Wed Oct 18 19:05:41 UTC 2023,8.5,228973
Wed Oct 18 19:05:42 UTC 2023,8.5,228969
Wed Oct 18 19:05:43 UTC 2023,8.5,229005
Wed Oct 18 19:05:43 UTC 2023,8.5,229016
Wed Oct 18 19:05:44 UTC 2023,8.5,229020
Wed Oct 18 19:05:44 UTC 2023,8.5,229016
Wed Oct 18 19:05:45 UTC 2023,8.5,229008
Wed Oct 18 19:05:46 UTC 2023,8.5,229012
Wed Oct 18 19:05:46 UTC 2023,8.5,229032
Wed Oct 18 19:05:47 UTC 2023,8.5,229016
Wed Oct 18 19:05:48 UTC 2023,8.5,229020
Wed Oct 18 19:05:48 UTC 2023,8.5,229024
Wed Oct 18 19:05:49 UTC 2023,8.5,229032
Wed Oct 18 19:05:49 UTC 2023,8.5,229024
Wed Oct 18 19:05:50 UTC 2023,8.5,229020
Wed Oct 18 19:05:51 UTC 2023,8.5,229024
Wed Oct 18 19:05:51 UTC 2023,8.5,228452
Wed Oct 18 19:05:52 UTC 2023,8.5,228460
Wed Oct 18 19:05:52 UTC 2023,8.5,228448
Wed Oct 18 19:05:53 UTC 2023,8.5,228456
Wed Oct 18 19:05:54 UTC 2023,8.5,228464
Wed Oct 18 19:05:54 UTC 2023,8.5,228460
Wed Oct 18 19:05:55 UTC 2023,8.5,228452
Wed Oct 18 19:05:56 UTC 2023,8.5,228456
Wed Oct 18 19:05:56 UTC 2023,8.5,228456
Wed Oct 18 19:05:57 UTC 2023,8.5,228460
Wed Oct 18 19:05:58 UTC 2023,8.5,228456
Wed Oct 18 19:05:58 UTC 2023,8.5,228456
Wed Oct 18 19:05:59 UTC 2023,8.5,228468
Wed Oct 18 19:05:59 UTC 2023,8.5,228460
Wed Oct 18 19:06:00 UTC 2023,8.5,228452
Wed Oct 18 19:06:01 UTC 2023,8.5,228460
Wed Oct 18 19:06:01 UTC 2023,8.5,228532
Wed Oct 18 19:06:02 UTC 2023,8.5,227876
Wed Oct 18 19:06:03 UTC 2023,8.5,227596
Wed Oct 18 19:06:03 UTC 2023,8.5,227588
Wed Oct 18 19:06:04 UTC 2023,8.5,227604
Wed Oct 18 19:06:05 UTC 2023,8.5,227592
Wed Oct 18 19:06:05 UTC 2023,8.5,227588
Wed Oct 18 19:06:06 UTC 2023,8.5,227592
Wed Oct 18 19:06:07 UTC 2023,8.5,227588
Wed Oct 18 19:06:07 UTC 2023,8.5,227592
Wed Oct 18 19:06:08 UTC 2023,8.5,227592
Wed Oct 18 19:06:09 UTC 2023,8.5,227600
Wed Oct 18 19:06:09 UTC 2023,8.5,227596
Wed Oct 18 19:06:10 UTC 2023,8.5,227168
Wed Oct 18 19:06:11 UTC 2023,8.5,227164
Wed Oct 18 19:06:11 UTC 2023,8.5,227168
Wed Oct 18 19:06:12 UTC 2023,8.5,227168
Wed Oct 18 19:06:12 UTC 2023,8.5,227208
Wed Oct 18 19:06:15 UTC 2023,8.5,227168
Wed Oct 18 19:06:16 UTC 2023,8.5,227164
Wed Oct 18 19:06:17 UTC 2023,8.5,227168
Wed Oct 18 19:06:17 UTC 2023,8.5,227168
Wed Oct 18 19:06:18 UTC 2023,8.5,227168
Wed Oct 18 19:06:19 UTC 2023,8.5,227180
Wed Oct 18 19:06:19 UTC 2023,8.5,227168
Wed Oct 18 19:06:20 UTC 2023,8.5,227164
Wed Oct 18 19:06:21 UTC 2023,8.5,227168
Wed Oct 18 19:06:21 UTC 2023,8.5,227164
Wed Oct 18 19:06:22 UTC 2023,8.5,227168
Wed Oct 18 19:06:23 UTC 2023,8.5,227164
Wed Oct 18 19:06:24 UTC 2023,8.5,227168
Wed Oct 18 19:06:25 UTC 2023,8.5,227160
Wed Oct 18 19:06:26 UTC 2023,8.5,227168
Wed Oct 18 19:06:27 UTC 2023,8.5,227164
Wed Oct 18 19:06:27 UTC 2023,8.5,227168
Wed Oct 18 19:06:28 UTC 2023,8.5,227164
Wed Oct 18 19:06:29 UTC 2023,8.5,227176
Wed Oct 18 19:06:29 UTC 2023,8.5,227164
Wed Oct 18 19:06:30 UTC 2023,8.5,227168
Wed Oct 18 19:06:31 UTC 2023,8.5,227104
Wed Oct 18 19:06:31 UTC 2023,8.5,227112
Wed Oct 18 19:06:32 UTC 2023,8.5,227396
Wed Oct 18 19:06:32 UTC 2023,8.5,227152
Wed Oct 18 19:06:33 UTC 2023,8.5,227136
Wed Oct 18 19:06:34 UTC 2023,8.5,227148
Wed Oct 18 19:06:34 UTC 2023,8.5,227136
Wed Oct 18 19:06:35 UTC 2023,8.5,227136
Wed Oct 18 19:06:36 UTC 2023,8.5,227140
Wed Oct 18 19:06:36 UTC 2023,8.5,227136
Wed Oct 18 19:06:37 UTC 2023,8.5,227136
Wed Oct 18 19:06:37 UTC 2023,8.5,227136
Wed Oct 18 19:06:38 UTC 2023,8.5,227140
Wed Oct 18 19:06:39 UTC 2023,8.5,227148
Wed Oct 18 19:06:39 UTC 2023,8.5,227136
Wed Oct 18 19:06:40 UTC 2023,8.5,227136
Wed Oct 18 19:06:41 UTC 2023,8.5,227140
Wed Oct 18 19:06:41 UTC 2023,8.5,227128
Wed Oct 18 19:06:42 UTC 2023,8.5,227140
Wed Oct 18 19:06:43 UTC 2023,8.5,227136
Wed Oct 18 19:06:43 UTC 2023,8.5,227132
Wed Oct 18 19:06:44 UTC 2023,8.5,227148
Wed Oct 18 19:06:45 UTC 2023,8.5,227140
Wed Oct 18 19:06:45 UTC 2023,8.5,227136
Wed Oct 18 19:06:46 UTC 2023,8.5,227136
Wed Oct 18 19:06:47 UTC 2023,8.5,227140
Wed Oct 18 19:06:47 UTC 2023,8.5,227140
Wed Oct 18 19:06:48 UTC 2023,8.5,227136
Wed Oct 18 19:06:49 UTC 2023,8.5,227152
Wed Oct 18 19:06:49 UTC 2023,8.5,227136
Wed Oct 18 19:06:50 UTC 2023,8.5,227136
Wed Oct 18 19:06:50 UTC 2023,8.5,227136
