Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697655903342,397,4085
1697655903446,397,4085
1697655903549,397,4085
1697655903651,-792,4085
1697655903755,-792,4085
1697655903858,-792,4085
1697655903961,-792,4085
1697655904063,-792,4085
1697655904166,-792,4085
1697655904269,-792,4085
1697655904371,-792,4085
1697655904474,-792,4085
1697655904577,-792,4085
1697655904683,-792,4085
1697655904785,-792,4085
1697655904888,-792,4085
1697655904990,-792,4085
1697655905094,-792,4085
1697655905198,-792,4085
1697655905305,-792,4085
1697655905412,-792,4085
1697655905518,-792,4085
1697655905623,-792,4085
1697655905728,-792,4085
1697655905833,-792,4085
1697655905936,-792,4085
1697655906039,-792,4085
1697655906144,-792,4085
1697655906250,-792,4085
1697655906355,-792,4085
1697655906457,-792,4085
1697655906560,-792,4085
1697655906668,-792,4085
1697655906773,-792,4085
1697655906881,-792,4085
1697655906986,-792,4085
1697655907091,-792,4085
1697655907199,-792,4085
1697655907306,-792,4085
1697655907418,-792,4085
1697655907532,-792,4085
1697655907645,-792,4085
1697655907749,-792,4085
1697655907856,-792,4085
1697655907967,-792,4085
1697655908072,-792,4085
1697655908184,-792,4085
1697655908290,-792,4085
1697655908394,-792,4085
1697655908497,-792,4085
1697655908603,-792,4085
1697655908710,-792,4085
1697655908815,-792,4085
1697655908921,-792,4085
1697655909027,-792,4085
1697655909131,-792,4085
1697655909238,-792,4085
1697655909344,-792,4085
1697655909450,-792,4085
1697655909552,-792,4085
1697655909655,-792,4085
1697655909762,-792,4085
1697655909865,-792,4085
1697655909972,-792,4085
1697655910085,-37,4085
1697655910191,-37,4085
1697655910295,-37,4085
1697655910398,-37,4085
1697655910504,-37,4085
1697655910617,-37,4085
1697655910739,-37,4085
1697655910851,-37,4085
1697655910964,-37,4085
1697655911077,-37,4085
1697655911189,-37,4085
1697655911293,-37,4085
1697655911400,-37,4085
1697655911521,-37,4085
1697655911628,-37,4085
1697655911732,-37,4085
1697655911840,-37,4085
1697655911945,-37,4085
1697655912058,-37,4085
1697655912166,-37,4085
1697655912276,-37,4085
1697655912386,-37,4085
1697655912495,-37,4085
1697655912600,-37,4085
1697655912708,-37,4085
1697655912816,-37,4085
1697655912939,-37,4085
1697655913050,-37,4085
1697655913162,-37,4085
1697655913266,-37,4085
1697655913374,-37,4085
1697655913485,-37,4085
1697655913598,-37,4085
1697655913709,-37,4085
1697655913821,-37,4085
1697655913924,-37,4085
1697655914032,-37,4085
1697655914139,-37,4085
1697655914251,-37,4085
1697655914364,-37,4085
1697655914475,-37,4085
1697655914582,-37,4085
1697655914690,-37,4085
1697655914804,-37,4085
1697655914913,-37,4085
1697655915026,-37,4085
1697655915140,-37,4085
1697655915246,-37,4085
1697655915353,-37,4085
1697655915464,-37,4085
1697655915573,-37,4085
1697655915687,-37,4085
1697655915799,-37,4085
1697655915912,-37,4085
1697655916024,-37,4085
1697655916138,-37,4085
1697655916245,-37,4085
1697655916357,-37,4085
1697655916468,-37,4085
1697655916572,-37,4085
1697655916681,-37,4085
1697655916790,-37,4085
1697655916899,-37,4085
1697655917004,-37,4085
1697655917112,-37,4085
1697655917220,-37,4085
1697655917330,-37,4085
1697655917442,-37,4085
1697655917557,-37,4085
1697655917664,-37,4085
1697655917771,-37,4085
1697655917879,-37,4085
1697655917990,-37,4085
1697655918100,-37,4085
1697655918205,-37,4085
1697655918313,-37,4085
1697655918421,-37,4085
1697655918535,-37,4085
1697655918647,-37,4085
1697655918760,-37,4085
1697655918866,-37,4085
1697655918973,-37,4085
1697655919081,-37,4085
1697655919190,-37,4085
1697655919301,-37,4085
1697655919405,-37,4085
1697655919512,-37,4085
1697655919628,-37,4085
1697655919745,-37,4085
1697655919855,-37,4085
1697655919960,-37,4085
1697655920068,-37,4085
1697655920177,-37,4085
1697655920289,-37,4085
1697655920401,-37,4085
1697655920513,-37,4085
1697655920617,-37,4085
1697655920725,-37,4085
1697655920833,-37,4085
1697655920953,-37,4085
1697655921069,-37,4085
1697655921190,-37,4085
1697655921304,-37,4085
1697655921418,-37,4085
1697655921532,-37,4085
1697655921647,-37,4085
1697655921760,-37,4085
1697655921871,-37,4085
1697655921975,-37,4085
1697655922081,-37,4085
1697655922193,-37,4085
1697655922303,-37,4085
1697655922412,-37,4085
1697655922524,-37,4085
1697655922636,-37,4085
1697655922740,-37,4085
1697655922844,-37,4085
1697655922954,-37,4085
1697655923068,-37,4085
1697655923180,-37,4085
1697655923293,-37,4085
1697655923400,-37,4085
1697655923507,-37,4085
1697655923620,-37,4085
1697655923734,-37,4085
1697655923845,-37,4085
1697655923959,-37,4085
1697655924078,-37,4085
1697655924191,-37,4085
1697655924304,-37,4085
1697655924418,-37,4085
