Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697120338076,-156,3708
1697120338183,-156,3708
1697120338287,-156,3708
1697120338391,-156,3708
1697120338493,-156,3708
1697120338596,-156,3708
1697120338699,-156,3708
1697120338805,-156,3708
1697120338909,-156,3708
1697120339015,-156,3708
1697120339119,-156,3708
1697120339222,-156,3708
1697120339327,-156,3708
1697120339433,-156,3708
1697120339541,-156,3708
1697120339648,-156,3708
1697120339753,-156,3708
1697120339855,-156,3708
1697120339958,-156,3708
1697120340062,-156,3708
1697120340169,-156,3708
1697120340276,-156,3708
1697120340384,-156,3708
1697120340491,-156,3708
1697120340599,-156,3708
1697120340703,-156,3708
1697120340808,-156,3708
1697120340911,-156,3708
1697120341013,-156,3708
1697120341127,-156,3708
1697120341242,-156,3708
1697120341355,-156,3708
1697120341459,-156,3708
1697120341566,-156,3708
1697120341677,-156,3708
1697120341782,-156,3708
1697120341893,-156,3708
1697120342001,-156,3708
1697120342105,-156,3708
1697120342209,-156,3708
1697120342314,-156,3708
1697120342424,-156,3708
1697120342526,-156,3708
1697120342628,-156,3708
1697120342733,-156,3708
1697120342837,-156,3708
1697120342939,-156,3708
1697120343044,-156,3708
1697120343154,-156,3708
1697120343257,-156,3708
1697120343360,-156,3708
1697120343466,-156,3708
1697120343574,-156,3708
1697120343679,-156,3708
1697120343784,-156,3708
1697120343888,-166,3708
1697120343990,-166,3708
1697120344098,-166,3708
1697120344205,-166,3708
1697120344313,-166,3708
1697120344417,-166,3708
1697120344524,-166,3708
1697120344634,-166,3708
1697120344746,-166,3708
1697120344865,-166,3708
1697120344976,-166,3708
1697120345082,-166,3708
1697120345191,-166,3708
1697120345302,-166,3708
1697120345414,-166,3708
1697120345524,-166,3708
1697120345632,-166,3708
1697120345737,-166,3708
1697120345852,-166,3708
1697120345960,-166,3708
1697120346068,-166,3708
1697120346176,-166,3708
1697120346283,-166,3708
1697120346397,-166,3708
1697120346511,-166,3708
1697120346624,-166,3708
1697120346728,-166,3708
1697120346835,-166,3708
1697120346947,-166,3708
1697120347058,-166,3708
1697120347164,-166,3708
1697120347276,-166,3708
1697120347382,-166,3708
1697120347490,-166,3708
1697120347610,-166,3708
1697120347717,-166,3708
1697120347829,-166,3708
1697120347938,-166,3708
1697120348044,-166,3708
1697120348155,-166,3708
1697120348267,-166,3708
1697120348376,-166,3708
1697120348483,-166,3708
1697120348590,-166,3708
1697120348697,-166,3708
1697120348813,-166,3708
1697120348922,-166,3708
1697120349035,-166,3708
1697120349139,-166,3708
1697120349247,-166,3708
1697120349361,-166,3708
1697120349475,-166,3708
1697120349590,-166,3708
1697120349703,-166,3708
1697120349812,-166,3708
1697120349922,-166,3708
1697120350031,-166,3708
1697120350144,-166,3708
1697120350262,-166,3708
1697120350368,-166,3708
1697120350476,-166,3708
1697120350601,-166,3708
1697120350714,-166,3708
1697120350828,-166,3708
1697120350948,-166,3708
1697120351053,-166,3708
1697120351159,-166,3708
1697120351268,-166,3708
1697120351376,-166,3708
1697120351486,-166,3708
1697120351590,-166,3708
1697120351697,-166,3708
1697120351805,-166,3708
1697120351915,-166,3708
1697120352026,-166,3708
1697120352138,-166,3708
1697120352245,-166,3708
1697120352351,-166,3708
1697120352461,-166,3708
1697120352572,-166,3708
1697120352683,-166,3708
1697120352790,-166,3708
1697120352898,-166,3708
1697120353001,-166,3708
1697120353105,-166,3708
1697120353210,-166,3708
1697120353317,-166,3708
1697120353423,-166,3708
1697120353530,-166,3708
1697120353633,-166,3708
1697120353737,-166,3708
1697120353840,-166,3708
1697120353948,-166,3708
1697120354054,-166,3708
1697120354158,-166,3708
1697120354261,-166,3708
1697120354366,-166,3708
1697120354475,-166,3708
1697120354582,-166,3708
1697120354688,-166,3708
1697120354791,-166,3708
1697120354895,-166,3708
1697120355001,-166,3708
1697120355110,-166,3708
1697120355219,-166,3708
1697120355326,-166,3708
1697120355433,-166,3708
1697120355537,-166,3708
1697120355646,-166,3708
1697120355754,-166,3708
1697120355864,-166,3708
1697120355968,-166,3708
1697120356072,-166,3708
1697120356177,-166,3708
1697120356284,-166,3708
1697120356390,-166,3708
1697120356497,-166,3708
1697120356601,-166,3708
1697120356704,-166,3708
1697120356810,-166,3708
1697120356920,-166,3708
1697120357028,-166,3708
1697120357132,-166,3708
1697120357237,-166,3708
1697120357342,-166,3708
1697120357450,-166,3708
1697120357560,-166,3708
1697120357667,-166,3708
1697120357772,-166,3708
1697120357876,-166,3708
1697120357983,-166,3708
1697120358094,-166,3708
1697120358201,-166,3708
1697120358310,-166,3708
1697120358417,-166,3708
1697120358525,-166,3708
1697120358632,-166,3708
1697120358740,-166,3708
1697120358846,-166,3708
1697120358953,-166,3708
1697120359062,-166,3708
1697120359168,-166,3708
1697120359281,-166,3708
1697120359392,-166,3708
1697120359505,-166,3708
1697120359613,-166,3708
1697120359720,-166,3708
1697120359830,-166,3708
1697120359940,-166,3708
1697120360052,-166,3708
1697120360159,-166,3708
1697120360267,-166,3708
1697120360379,-166,3708
1697120360492,-166,3708
1697120360604,-166,3708
1697120360712,-166,3708
1697120360820,-166,3708
1697120360929,-166,3708
1697120361041,-166,3708
1697120361154,-166,3708
1697120361264,-166,3708
1697120361374,-166,3708
1697120361482,-166,3708
1697120361596,-166,3708
1697120361711,-166,3708
1697120361825,-166,3708
1697120361936,-166,3708
1697120362040,-166,3708
1697120362147,-166,3708
1697120362263,-166,3708
1697120362380,-166,3708
1697120362486,-166,3708
1697120362592,-166,3708
1697120362696,-166,3708
1697120362803,-166,3708
1697120362916,-166,3708
1697120363037,-166,3708
1697120363145,-166,3708
1697120363250,-166,3708
1697120363360,-166,3708
1697120363471,-166,3708
1697120363586,-166,3708
1697120363695,-166,3708
1697120363802,-166,3708
1697120363909,-166,3708
1697120364016,-166,3708
1697120364130,-166,3708
1697120364239,-166,3708
1697120364347,-166,3708
1697120364454,-166,3708
1697120364565,-166,3708
1697120364677,-166,3708
1697120364786,-166,3708
1697120364902,-166,3708
1697120365007,-166,3708
1697120365114,-166,3708
1697120365216,-166,3708
1697120365319,-166,3708
1697120365425,-166,3708
1697120365534,-166,3708
1697120365642,-166,3708
1697120365745,-166,3708
1697120365849,-166,3708
1697120365953,-166,3708
1697120366058,-166,3708
1697120366163,-166,3708
1697120366268,-166,3708
1697120366371,-166,3708
1697120366477,-166,3708
1697120366582,-166,3708
1697120366689,-166,3708
1697120366798,-166,3708
1697120366902,-166,3708
1697120367005,-166,3708
1697120367108,-166,3708
1697120367217,-166,3708
1697120367326,-166,3708
1697120367433,-166,3708
1697120367540,-166,3708
1697120367644,-166,3708
1697120367750,-166,3708
1697120367856,-166,3708
1697120367960,-166,3708
1697120368072,-166,3708
1697120368186,-166,3708
1697120368290,-166,3708
1697120368394,-166,3708
1697120368497,-166,3708
1697120368602,-166,3708
1697120368708,-166,3708
1697120368811,-166,3708
1697120368914,-166,3708
1697120369020,-166,3708
1697120369125,-166,3708
1697120369233,-166,3708
1697120369346,-166,3708
1697120369453,-166,3708
1697120369558,-166,3708
1697120369669,-166,3708
1697120369782,-166,3708
1697120369887,-166,3708
1697120369994,-166,3708
1697120370099,-166,3708
1697120370202,-166,3708
1697120370306,-166,3708
1697120370413,-166,3708
1697120370519,-166,3708
1697120370627,-166,3708
1697120370731,-166,3708
1697120370837,-166,3708
1697120370946,-166,3708
1697120371053,-166,3708
1697120371166,-166,3708
1697120371278,-166,3708
1697120371382,-166,3708
1697120371488,-166,3708
1697120371601,-166,3708
1697120371714,-166,3708
1697120371827,-166,3708
1697120371939,-166,3708
1697120372046,-166,3708
1697120372154,-166,3708
1697120372267,-166,3708
1697120372378,-166,3708
1697120372489,-166,3708
1697120372593,-166,3708
1697120372700,-166,3708
1697120372814,-166,3708
1697120372924,-166,3708
1697120373036,-166,3708
1697120373140,-166,3708
1697120373249,-166,3708
1697120373357,-166,3708
1697120373469,-166,3708
1697120373581,-166,3708
1697120373694,-166,3708
1697120373802,-166,3708
1697120373912,-166,3708
1697120374023,-166,3708
1697120374129,-674,3708
1697120374240,-674,3708
1697120374353,-674,3708
1697120374462,-674,3708
1697120374568,-674,3708
1697120374675,-674,3708
1697120374787,-674,3708
1697120374901,-674,3708
1697120375012,-674,3708
1697120375117,-674,3708
1697120375225,-674,3708
1697120375334,-674,3708
1697120375447,-674,3708
1697120375559,-674,3708
1697120375666,-674,3708
1697120375774,-674,3708
1697120375892,-674,3708
1697120376003,-674,3708
1697120376113,-674,3708
1697120376220,-674,3708
1697120376327,-674,3708
1697120376438,-674,3708
1697120376551,-674,3708
1697120376661,-674,3708
1697120376766,-674,3708
1697120376874,-674,3708
1697120376980,-674,3708
1697120377090,-674,3708
1697120377204,-674,3708
1697120377310,-674,3708
1697120377420,-674,3708
1697120377528,-674,3708
