datetime,cpu,mem
Wed Oct 18 19:36:58 UTC 2023,2.6,166646
Wed Oct 18 19:36:58 UTC 2023,2.6,161492
Wed Oct 18 19:36:59 UTC 2023,2.6,154126
Wed Oct 18 19:36:59 UTC 2023,2.6,154139
Wed Oct 18 19:37:00 UTC 2023,2.6,154353
Wed Oct 18 19:37:00 UTC 2023,2.6,154895
Wed Oct 18 19:37:01 UTC 2023,2.6,154863
Wed Oct 18 19:37:01 UTC 2023,2.6,154652
Wed Oct 18 19:37:02 UTC 2023,2.6,155026
Wed Oct 18 19:37:03 UTC 2023,2.6,154844
Wed Oct 18 19:37:03 UTC 2023,2.6,154926
Wed Oct 18 19:37:04 UTC 2023,2.6,155322
Wed Oct 18 19:37:05 UTC 2023,2.6,154590
Wed Oct 18 19:37:05 UTC 2023,2.6,154348
Wed Oct 18 19:37:06 UTC 2023,2.6,154968
Wed Oct 18 19:37:06 UTC 2023,2.6,155015
Wed Oct 18 19:37:07 UTC 2023,2.6,155417
Wed Oct 18 19:37:08 UTC 2023,2.6,154947
Wed Oct 18 19:37:08 UTC 2023,2.6,154755
Wed Oct 18 19:37:09 UTC 2023,2.6,155061
Wed Oct 18 19:37:09 UTC 2023,2.6,155249
Wed Oct 18 19:37:10 UTC 2023,2.6,154711
Wed Oct 18 19:37:10 UTC 2023,2.6,154883
Wed Oct 18 19:37:11 UTC 2023,2.6,154887
Wed Oct 18 19:37:12 UTC 2023,2.6,155249
Wed Oct 18 19:37:12 UTC 2023,2.6,154937
Wed Oct 18 19:37:13 UTC 2023,2.6,154807
Wed Oct 18 19:37:13 UTC 2023,2.6,154875
Wed Oct 18 19:37:14 UTC 2023,2.6,154811
Wed Oct 18 19:37:15 UTC 2023,2.6,155057
Wed Oct 18 19:37:15 UTC 2023,2.6,154415
Wed Oct 18 19:37:16 UTC 2023,2.6,154863
Wed Oct 18 19:37:17 UTC 2023,2.6,154655
Wed Oct 18 19:37:17 UTC 2023,2.6,154835
Wed Oct 18 19:37:18 UTC 2023,2.6,154973
Wed Oct 18 19:37:18 UTC 2023,2.6,154727
Wed Oct 18 19:37:19 UTC 2023,2.6,154827
Wed Oct 18 19:37:20 UTC 2023,2.6,155021
Wed Oct 18 19:37:20 UTC 2023,2.6,154863
Wed Oct 18 19:37:21 UTC 2023,2.6,154867
Wed Oct 18 19:37:21 UTC 2023,2.6,154977
Wed Oct 18 19:37:22 UTC 2023,2.6,154925
Wed Oct 18 19:37:23 UTC 2023,2.6,154921
Wed Oct 18 19:37:24 UTC 2023,2.6,154941
Wed Oct 18 19:37:25 UTC 2023,2.6,155179
Wed Oct 18 19:37:26 UTC 2023,2.6,155147
Wed Oct 18 19:37:26 UTC 2023,2.6,155071
Wed Oct 18 19:37:27 UTC 2023,2.6,155071
Wed Oct 18 19:37:28 UTC 2023,2.6,154453
Wed Oct 18 19:37:28 UTC 2023,2.6,154959
Wed Oct 18 19:37:29 UTC 2023,2.6,154773
Wed Oct 18 19:37:29 UTC 2023,2.6,154280
Wed Oct 18 19:37:30 UTC 2023,2.6,155010
Wed Oct 18 19:37:31 UTC 2023,2.6,154946
Wed Oct 18 19:37:31 UTC 2023,2.6,154844
Wed Oct 18 19:37:32 UTC 2023,2.6,154404
Wed Oct 18 19:37:33 UTC 2023,2.6,154482
Wed Oct 18 19:37:33 UTC 2023,2.6,154856
Wed Oct 18 19:37:34 UTC 2023,2.6,155026
Wed Oct 18 19:37:34 UTC 2023,2.6,154348
Wed Oct 18 19:37:35 UTC 2023,2.6,155054
Wed Oct 18 19:37:36 UTC 2023,2.6,154736
Wed Oct 18 19:37:37 UTC 2023,2.6,154772
Wed Oct 18 19:37:37 UTC 2023,2.6,154506
Wed Oct 18 19:37:38 UTC 2023,2.6,154760
Wed Oct 18 19:37:38 UTC 2023,2.6,154336
Wed Oct 18 19:37:39 UTC 2023,2.6,154847
Wed Oct 18 19:37:40 UTC 2023,2.6,154851
Wed Oct 18 19:37:40 UTC 2023,2.6,154843
Wed Oct 18 19:37:41 UTC 2023,2.6,154839
Wed Oct 18 19:37:42 UTC 2023,2.6,154597
Wed Oct 18 19:37:42 UTC 2023,2.6,154807
Wed Oct 18 19:37:43 UTC 2023,2.6,154227
Wed Oct 18 19:37:43 UTC 2023,2.6,154513
Wed Oct 18 19:37:44 UTC 2023,2.6,154803
Wed Oct 18 19:37:45 UTC 2023,2.6,154735
Wed Oct 18 19:37:45 UTC 2023,2.6,154585
Wed Oct 18 19:37:46 UTC 2023,2.6,154771
Wed Oct 18 19:37:47 UTC 2023,2.6,154541
Wed Oct 18 19:37:48 UTC 2023,2.6,154169
Wed Oct 18 19:37:48 UTC 2023,2.6,154303
Wed Oct 18 19:37:49 UTC 2023,2.6,154637
Wed Oct 18 19:37:49 UTC 2023,2.6,154371
Wed Oct 18 19:37:50 UTC 2023,2.6,154359
Wed Oct 18 19:37:51 UTC 2023,2.6,154709
Wed Oct 18 19:37:51 UTC 2023,2.6,154843
Wed Oct 18 19:37:52 UTC 2023,2.6,155107
Wed Oct 18 19:37:52 UTC 2023,2.6,154227
Wed Oct 18 19:37:53 UTC 2023,2.6,154593
Wed Oct 18 19:37:54 UTC 2023,2.6,154505
Wed Oct 18 19:37:55 UTC 2023,2.6,154687
Wed Oct 18 19:37:55 UTC 2023,2.6,154581
Wed Oct 18 19:37:56 UTC 2023,2.6,154461
Wed Oct 18 19:37:57 UTC 2023,2.6,154391
Wed Oct 18 19:37:57 UTC 2023,2.6,154357
Wed Oct 18 19:37:58 UTC 2023,2.6,154421
Wed Oct 18 19:37:58 UTC 2023,2.6,154571
Wed Oct 18 19:37:59 UTC 2023,2.6,154507
Wed Oct 18 19:38:00 UTC 2023,2.6,154201
Wed Oct 18 19:38:00 UTC 2023,2.6,153705
Wed Oct 18 19:38:01 UTC 2023,2.6,154311
Wed Oct 18 19:38:01 UTC 2023,2.6,153919
