Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697657817952,-110,3848
1697657818055,-110,3848
1697657818158,-110,3848
1697657818260,-110,3848
1697657818362,-110,3848
1697657818465,-110,3848
1697657818567,-110,3848
1697657818669,-110,3848
1697657818771,-110,3848
1697657818873,-110,3848
1697657818975,-110,3848
1697657819078,-110,3848
1697657819180,-110,3848
1697657819282,-110,3848
1697657819384,-110,3848
1697657819487,-110,3848
1697657819589,-110,3848
1697657819691,-110,3848
1697657819793,-110,3848
1697657819895,-110,3848
1697657819997,-110,3848
1697657820100,-110,3848
1697657820202,-110,3848
1697657820304,-110,3848
1697657820408,-110,3848
1697657820518,-110,3848
1697657820634,-110,3848
1697657820739,-110,3848
1697657820843,-110,3848
1697657820950,-110,3848
1697657821053,-110,3848
1697657821159,-110,3848
1697657821267,-110,3848
1697657821374,-110,3848
1697657821479,-110,3848
1697657821582,-110,3848
1697657821685,-110,3848
1697657821793,-110,3848
1697657821901,-110,3848
1697657822007,-110,3848
1697657822116,-110,3848
1697657822220,-110,3848
1697657822326,-110,3848
1697657822435,-110,3848
1697657822544,-110,3848
1697657822648,-110,3848
1697657822753,-110,3848
1697657822858,-110,3848
1697657822964,-110,3848
1697657823075,-110,3848
1697657823183,-110,3848
1697657823289,-110,3848
1697657823394,-110,3848
1697657823500,-110,3848
1697657823613,-110,3848
1697657823724,-110,3848
1697657823832,-110,3848
1697657823946,-110,3848
1697657824056,-110,3848
1697657824161,-110,3848
1697657824267,-110,3848
1697657824378,-110,3848
1697657824488,-110,3848
1697657824596,-110,3848
1697657824699,-110,3848
1697657824802,-110,3848
1697657824915,-110,3848
1697657825024,-110,3848
1697657825132,-110,3848
1697657825246,-110,3848
1697657825351,-110,3848
1697657825457,-110,3848
1697657825567,-110,3848
1697657825681,-110,3848
1697657825790,-110,3848
1697657825895,-110,3848
1697657826005,-110,3848
1697657826131,-110,3848
1697657826238,-110,3848
1697657826348,-110,3848
1697657826452,-110,3848
1697657826559,-110,3848
1697657826667,-110,3848
1697657826776,-110,3848
1697657826884,-110,3848
1697657826992,-110,3848
1697657827097,-110,3848
1697657827202,-110,3848
1697657827307,-110,3848
1697657827420,-110,3848
1697657827532,-110,3848
1697657827640,-110,3848
1697657827744,-110,3848
1697657827852,-110,3848
1697657827964,-110,3848
1697657828073,-110,3848
1697657828182,-110,3848
1697657828286,-110,3848
1697657828391,-110,3848
1697657828499,-110,3848
1697657828609,-110,3848
1697657828717,-110,3848
1697657828821,-110,3848
1697657828928,-110,3848
1697657829039,-110,3848
1697657829150,-110,3848
1697657829261,-110,3848
1697657829364,-110,3848
1697657829470,-110,3848
1697657829579,-110,3848
1697657829692,-110,3848
1697657829802,-110,3848
1697657829911,-110,3848
1697657830016,-110,3848
1697657830123,-110,3848
1697657830232,-110,3848
1697657830342,-110,3848
1697657830458,-110,3848
1697657830567,-110,3848
1697657830672,-110,3848
1697657830779,-110,3848
1697657830890,-110,3848
1697657831002,-110,3848
1697657831112,-110,3848
1697657831216,-110,3848
1697657831320,-110,3848
1697657831430,-110,3848
1697657831543,-110,3848
1697657831653,-110,3848
1697657831761,-110,3848
1697657831864,-110,3848
1697657831970,-110,3848
1697657832082,-110,3848
1697657832196,-110,3848
1697657832304,-110,3848
1697657832408,-110,3848
1697657832513,-110,3848
1697657832624,-110,3848
1697657832734,-110,3848
1697657832837,-110,3848
1697657832945,-110,3848
1697657833057,-110,3848
1697657833167,-110,3848
1697657833280,-110,3848
1697657833388,-110,3848
1697657833495,-110,3848
1697657833599,-110,3848
1697657833703,-110,3848
1697657833827,-110,3848
1697657833937,-110,3848
1697657834046,-110,3848
1697657834150,-110,3848
1697657834264,-110,3848
1697657834370,-110,3848
1697657834476,-110,3848
1697657834583,-110,3848
1697657834686,-110,3848
1697657834794,-110,3848
1697657834900,-110,3848
1697657835016,-110,3848
1697657835127,-110,3848
1697657835233,-110,3848
1697657835338,-110,3848
1697657835447,-675,3848
1697657835556,-675,3848
1697657835672,-675,3848
1697657835779,-675,3848
1697657835888,-675,3848
1697657835991,-675,3848
1697657836104,-675,3848
1697657836232,-675,3848
1697657836347,-675,3848
1697657836457,-675,3848
1697657836565,-675,3848
1697657836672,-675,3848
1697657836780,-675,3848
1697657836886,-675,3848
1697657836994,-675,3848
1697657837109,-675,3848
1697657837220,-675,3848
1697657837328,-675,3848
1697657837435,-675,3848
1697657837538,-675,3848
1697657837645,-675,3848
1697657837758,-675,3848
1697657837871,-675,3848
1697657837975,-675,3848
1697657838078,-675,3848
1697657838200,-675,3848
1697657838319,-675,3848
1697657838434,-675,3848
1697657838541,-675,3848
1697657838645,-675,3848
1697657838748,-675,3848
1697657838857,-675,3848
1697657838963,-675,3848
1697657839069,-675,3848
1697657839173,-675,3848
1697657839278,-675,3848
1697657839391,-675,3848
1697657839500,-675,3848
1697657839607,-675,3848
1697657839713,-675,3848
1697657839817,-675,3848
1697657839922,-675,3848
1697657840032,-675,3848
1697657840141,-675,3848
1697657840246,-675,3848
1697657840349,-675,3848
1697657840453,-675,3848
1697657840558,-675,3848
1697657840661,-675,3848
1697657840765,-675,3848
1697657840871,-675,3848
1697657840975,-675,3848
1697657841082,-675,3848
1697657841188,-675,3848
1697657841292,-675,3848
1697657841396,-675,3848
1697657841499,-675,3848
1697657841607,-675,3848
1697657841715,-675,3848
1697657841820,-675,3848
1697657841924,-675,3848
1697657842029,-675,3848
1697657842133,-675,3848
1697657842241,-675,3848
1697657842358,-675,3848
1697657842476,-675,3848
1697657842583,-675,3848
1697657842691,-675,3848
1697657842796,-675,3848
1697657842903,-675,3848
1697657843015,-675,3848
1697657843134,-675,3848
1697657843241,-675,3848
1697657843362,-675,3848
1697657843473,-675,3848
1697657843587,-675,3848
1697657843698,-675,3848
1697657843803,-675,3848
1697657843909,-675,3848
1697657844020,-675,3848
1697657844131,-675,3848
1697657844241,-675,3848
1697657844366,-675,3848
1697657844474,-675,3848
