datetime,cpu,mem
Fri Oct 13 15:28:03 UTC 2023,5.7,91584
Fri Oct 13 15:28:04 UTC 2023,5.7,100665
Fri Oct 13 15:28:05 UTC 2023,5.7,152393
Fri Oct 13 15:28:06 UTC 2023,5.7,153017
Fri Oct 13 15:28:06 UTC 2023,5.7,161653
Fri Oct 13 15:28:07 UTC 2023,5.7,157815
Fri Oct 13 15:28:07 UTC 2023,5.7,157785
Fri Oct 13 15:28:08 UTC 2023,5.7,157796
Fri Oct 13 15:28:09 UTC 2023,5.7,158665
Fri Oct 13 15:28:09 UTC 2023,5.7,158198
Fri Oct 13 15:28:10 UTC 2023,5.7,154610
Fri Oct 13 15:28:12 UTC 2023,5.7,155617
Fri Oct 13 15:28:12 UTC 2023,5.7,154813
Fri Oct 13 15:28:13 UTC 2023,5.7,156482
Fri Oct 13 15:28:14 UTC 2023,5.7,157077
Fri Oct 13 15:28:14 UTC 2023,5.7,156050
Fri Oct 13 15:28:15 UTC 2023,5.7,157320
Fri Oct 13 15:28:16 UTC 2023,5.7,157360
Fri Oct 13 15:28:17 UTC 2023,5.7,158355
Fri Oct 13 15:28:17 UTC 2023,5.7,157072
Fri Oct 13 15:28:18 UTC 2023,5.7,158978
Fri Oct 13 15:28:19 UTC 2023,5.7,157435
Fri Oct 13 15:28:19 UTC 2023,5.7,158582
Fri Oct 13 15:28:20 UTC 2023,5.7,159425
Fri Oct 13 15:28:21 UTC 2023,5.7,158954
Fri Oct 13 15:28:22 UTC 2023,5.7,158644
Fri Oct 13 15:28:23 UTC 2023,5.7,160110
Fri Oct 13 15:28:24 UTC 2023,5.7,158771
Fri Oct 13 15:28:25 UTC 2023,5.7,159567
Fri Oct 13 15:28:25 UTC 2023,5.7,159138
Fri Oct 13 15:28:26 UTC 2023,5.7,159796
Fri Oct 13 15:28:27 UTC 2023,5.7,159172
Fri Oct 13 15:28:27 UTC 2023,5.7,159245
Fri Oct 13 15:28:28 UTC 2023,5.7,160962
Fri Oct 13 15:28:29 UTC 2023,5.7,159521
Fri Oct 13 15:28:29 UTC 2023,5.7,160005
Fri Oct 13 15:28:30 UTC 2023,5.7,161071
Fri Oct 13 15:28:31 UTC 2023,5.7,159900
Fri Oct 13 15:28:31 UTC 2023,5.7,160670
Fri Oct 13 15:28:32 UTC 2023,5.7,160054
Fri Oct 13 15:28:32 UTC 2023,5.7,160889
Fri Oct 13 15:28:33 UTC 2023,5.7,160289
Fri Oct 13 15:28:33 UTC 2023,5.7,160231
Fri Oct 13 15:28:34 UTC 2023,5.7,161994
Fri Oct 13 15:28:35 UTC 2023,5.7,160524
Fri Oct 13 15:28:35 UTC 2023,5.7,162216
Fri Oct 13 15:28:36 UTC 2023,5.7,160784
Fri Oct 13 15:28:37 UTC 2023,5.7,162535
Fri Oct 13 15:28:37 UTC 2023,5.7,161245
Fri Oct 13 15:28:38 UTC 2023,5.7,161420
Fri Oct 13 15:28:38 UTC 2023,5.7,162250
Fri Oct 13 15:28:39 UTC 2023,5.7,162270
