datetime,cpu,mem
Tue Oct 10 06:56:49 UTC 2023,10,133510
Tue Oct 10 06:56:50 UTC 2023,10,133369
Tue Oct 10 06:56:50 UTC 2023,10,133413
Tue Oct 10 06:56:51 UTC 2023,10,133437
Tue Oct 10 06:56:52 UTC 2023,10,133369
Tue Oct 10 06:56:53 UTC 2023,10,133325
Tue Oct 10 06:56:53 UTC 2023,10,133337
Tue Oct 10 06:56:54 UTC 2023,10,133329
Tue Oct 10 06:56:54 UTC 2023,10,133329
Tue Oct 10 06:56:55 UTC 2023,10,133329
Tue Oct 10 06:56:56 UTC 2023,10,133329
Tue Oct 10 06:56:56 UTC 2023,10,133329
Tue Oct 10 06:56:57 UTC 2023,10,133329
Tue Oct 10 06:56:58 UTC 2023,10,133333
Tue Oct 10 06:56:58 UTC 2023,10,133329
Tue Oct 10 06:56:59 UTC 2023,10,133329
Tue Oct 10 06:56:59 UTC 2023,10,133329
Tue Oct 10 06:57:00 UTC 2023,10,133329
Tue Oct 10 06:57:00 UTC 2023,10,133329
Tue Oct 10 06:57:01 UTC 2023,10,133329
Tue Oct 10 06:57:02 UTC 2023,10,133329
Tue Oct 10 06:57:02 UTC 2023,10,133329
Tue Oct 10 06:57:03 UTC 2023,10,133329
Tue Oct 10 06:57:03 UTC 2023,10,133329
Tue Oct 10 06:57:04 UTC 2023,10,133329
Tue Oct 10 06:57:05 UTC 2023,10,133329
Tue Oct 10 06:57:05 UTC 2023,10,133329
Tue Oct 10 06:57:06 UTC 2023,10,133329
Tue Oct 10 06:57:06 UTC 2023,10,133329
Tue Oct 10 06:57:07 UTC 2023,10,133329
Tue Oct 10 06:57:07 UTC 2023,10,133329
Tue Oct 10 06:57:08 UTC 2023,10,133329
Tue Oct 10 06:57:09 UTC 2023,10,133325
Tue Oct 10 06:57:09 UTC 2023,10,133329
Tue Oct 10 06:57:10 UTC 2023,10,133329
Tue Oct 10 06:57:10 UTC 2023,10,133329
Tue Oct 10 06:57:11 UTC 2023,10,133329
Tue Oct 10 06:57:11 UTC 2023,10,133329
Tue Oct 10 06:57:12 UTC 2023,10,133329
Tue Oct 10 06:57:12 UTC 2023,10,133329
Tue Oct 10 06:57:13 UTC 2023,10,133310
Tue Oct 10 06:57:13 UTC 2023,10,133309
Tue Oct 10 06:57:14 UTC 2023,10,133309
Tue Oct 10 06:57:15 UTC 2023,10,133309
Tue Oct 10 06:57:15 UTC 2023,10,133309
Tue Oct 10 06:57:16 UTC 2023,10,133309
Tue Oct 10 06:57:16 UTC 2023,10,133309
Tue Oct 10 06:57:17 UTC 2023,10,133309
Tue Oct 10 06:57:17 UTC 2023,10,133309
Tue Oct 10 06:57:18 UTC 2023,10,133309
Tue Oct 10 06:57:19 UTC 2023,10,133308
Tue Oct 10 06:57:19 UTC 2023,10,133304
Tue Oct 10 06:57:20 UTC 2023,10,133308
Tue Oct 10 06:57:21 UTC 2023,10,133312
Tue Oct 10 06:57:21 UTC 2023,10,133308
Tue Oct 10 06:57:22 UTC 2023,10,133308
Tue Oct 10 06:57:22 UTC 2023,10,133308
Tue Oct 10 06:57:23 UTC 2023,5.9,133308
Tue Oct 10 06:57:24 UTC 2023,5.9,133308
Tue Oct 10 06:57:24 UTC 2023,5.9,133308
Tue Oct 10 06:57:25 UTC 2023,5.9,133380
Tue Oct 10 06:57:25 UTC 2023,5.9,133380
Tue Oct 10 06:57:26 UTC 2023,5.9,133380
Tue Oct 10 06:57:27 UTC 2023,5.9,133380
