Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1696945290704,-165,3999
1696945290811,-165,3999
1696945290917,-165,3999
1696945291021,-165,3999
1696945291123,-165,3999
1696945291227,-165,3999
1696945291331,-165,3999
1696945291436,-165,3999
1696945291538,-165,3999
1696945291641,-165,3999
1696945291746,-165,3999
1696945291855,-165,3999
1696945291963,-165,3999
1696945292072,-165,3999
1696945292183,-165,3999
1696945292286,-165,3999
1696945292391,-165,3999
1696945292499,-165,3999
1696945292605,-165,3999
1696945292713,-165,3999
1696945292825,-165,3999
1696945292927,-165,3999
1696945293032,-165,3999
1696945293140,-165,3999
1696945293247,-165,3999
1696945293355,-165,3999
1696945293464,-165,3999
1696945293570,-165,3999
1696945293681,-165,3999
1696945293784,-165,3999
1696945293889,-165,3999
1696945293994,-165,3999
1696945294102,-165,3999
1696945294209,-165,3999
1696945294314,-165,3999
1696945294420,-165,3999
1696945294525,-165,3999
1696945294628,-165,3999
1696945294730,-165,3999
1696945294834,-165,3999
1696945294940,-165,3999
1696945295044,-165,3999
1696945295151,-165,3999
1696945295259,-165,3999
1696945295364,-165,3999
1696945295466,-165,3999
1696945295570,-165,3999
1696945295674,-165,3999
1696945295778,-165,3999
1696945295882,-165,3999
1696945295987,-165,3999
1696945296093,-165,3999
1696945296197,-165,3999
1696945296301,-165,3999
1696945296407,-165,3999
1696945296512,-165,3999
1696945296615,-165,3999
1696945296719,-165,3999
1696945296831,-165,3999
1696945296937,-165,3999
1696945297042,-165,3999
1696945297144,-165,3999
1696945297248,-165,3999
1696945297355,-165,3999
1696945297465,-165,3999
1696945297568,-165,3999
1696945297670,-165,3999
1696945297775,-165,3999
1696945297882,-165,3999
1696945297991,-165,3999
1696945298098,-165,3999
1696945298203,-165,3999
1696945298305,-165,3999
1696945298407,-165,3999
1696945298516,-165,3999
1696945298623,-165,3999
1696945298728,-165,3999
1696945298831,-165,3999
1696945298934,-165,3999
1696945299040,-165,3999
1696945299143,-165,3999
1696945299251,-165,3999
1696945299356,-165,3999
1696945299461,-165,3999
1696945299567,-165,3999
1696945299673,-165,3999
1696945299778,-165,3999
1696945299882,-165,3999
1696945299984,-165,3999
1696945300089,-165,3999
1696945300196,-165,3999
1696945300299,-165,3999
1696945300401,-165,3999
1696945300504,-165,3999
1696945300608,-165,3999
1696945300715,-165,3999
1696945300820,-165,3999
1696945300922,-165,3999
1696945301027,-165,3999
1696945301131,-165,3999
1696945301239,-165,3999
1696945301347,-165,3999
1696945301455,-165,3999
1696945301564,-165,3999
1696945301670,-165,3999
1696945301777,-165,3999
1696945301881,-165,3999
1696945301985,-165,3999
1696945302088,-165,3999
1696945302192,-165,3999
1696945302297,-165,3999
1696945302407,-165,3999
1696945302512,-165,3999
1696945302615,-165,3999
1696945302717,-165,3999
1696945302822,-165,3999
1696945302927,-165,3999
1696945303031,-165,3999
1696945303139,-165,3999
1696945303249,-165,3999
1696945303352,-165,3999
1696945303455,-165,3999
1696945303557,-165,3999
1696945303660,-165,3999
1696945303765,-165,3999
1696945303869,-165,3999
1696945303977,-165,3999
1696945304082,-165,3999
1696945304186,-165,3999
1696945304310,-165,3999
1696945304424,-165,3999
1696945304527,-165,3999
1696945304631,-165,3999
1696945304736,-165,3999
1696945304842,-165,3999
1696945304951,-165,3999
1696945305054,-165,3999
1696945305156,-165,3999
1696945305264,-165,3999
1696945305370,-165,3999
1696945305479,-165,3999
1696945305583,-165,3999
1696945305686,-165,3999
1696945305790,-165,3999
1696945305896,-165,3999
1696945306008,-165,3999
1696945306111,-165,3999
1696945306214,-165,3999
1696945306319,-165,3999
1696945306424,-165,3999
1696945306532,-165,3999
1696945306634,-165,3999
1696945306739,-165,3999
1696945306848,-165,3999
1696945306953,-165,3999
1696945307060,-165,3999
1696945307162,-165,3999
1696945307266,-165,3999
1696945307371,-165,3999
1696945307474,-165,3999
1696945307579,-165,3999
1696945307684,-165,3999
1696945307789,-165,3999
1696945307893,-165,3999
1696945307998,-165,3999
1696945308101,-165,3999
1696945308204,-165,3999
1696945308309,-165,3999
1696945308416,-165,3999
1696945308522,-165,3999
1696945308626,-165,3999
1696945308731,-320,3999
1696945308833,-320,3999
1696945308939,-320,3999
1696945309044,-320,3999
1696945309148,-320,3999
1696945309250,-320,3999
1696945309357,-320,3999
1696945309462,-320,3999
1696945309567,-320,3999
1696945309677,-320,3999
1696945309780,-320,3999
1696945309883,-320,3999
1696945309991,-320,3999
1696945310098,-320,3999
1696945310201,-320,3999
1696945310303,-320,3999
1696945310409,-320,3999
1696945310514,-320,3999
1696945310616,-320,3999
1696945310719,-320,3999
1696945310821,-320,3999
1696945310926,-320,3999
1696945311033,-320,3999
1696945311137,-320,3999
1696945311239,-320,3999
1696945311342,-320,3999
1696945311448,-320,3999
1696945311553,-320,3999
1696945311659,-320,3999
1696945311764,-320,3999
1696945311868,-320,3999
1696945311970,-320,3999
1696945312078,-320,3999
1696945312191,-320,3999
1696945312295,-320,3999
1696945312398,-320,3999
1696945312501,-320,3999
1696945312605,-320,3999
1696945312713,-320,3999
1696945312816,-320,3999
