datetime,cpu,mem
Tue Oct 10 20:35:35 UTC 2023,2.2,141543
Tue Oct 10 20:35:36 UTC 2023,2.2,142072
Tue Oct 10 20:35:36 UTC 2023,2.2,142088
Tue Oct 10 20:35:37 UTC 2023,2.2,142032
Tue Oct 10 20:35:38 UTC 2023,2.2,142012
Tue Oct 10 20:35:38 UTC 2023,2.2,141610
Tue Oct 10 20:35:39 UTC 2023,2.2,143180
Tue Oct 10 20:35:39 UTC 2023,2.2,146695
Tue Oct 10 20:35:40 UTC 2023,2.2,144020
Tue Oct 10 20:35:40 UTC 2023,2.2,147088
Tue Oct 10 20:35:41 UTC 2023,2.2,145245
Tue Oct 10 20:35:42 UTC 2023,2.2,144542
Tue Oct 10 20:35:42 UTC 2023,2.2,146752
Tue Oct 10 20:35:43 UTC 2023,2.2,144251
Tue Oct 10 20:35:43 UTC 2023,2.2,144050
Tue Oct 10 20:35:44 UTC 2023,8.1,147012
Tue Oct 10 20:35:45 UTC 2023,8.1,147138
Tue Oct 10 20:35:45 UTC 2023,8.1,144447
Tue Oct 10 20:35:46 UTC 2023,8.1,147262
Tue Oct 10 20:35:47 UTC 2023,8.1,144559
Tue Oct 10 20:35:47 UTC 2023,8.1,147122
Tue Oct 10 20:35:48 UTC 2023,8.1,147711
Tue Oct 10 20:35:48 UTC 2023,8.1,145253
Tue Oct 10 20:35:49 UTC 2023,8.1,144903
Tue Oct 10 20:35:49 UTC 2023,8.1,148011
Tue Oct 10 20:35:50 UTC 2023,8.1,144544
Tue Oct 10 20:35:50 UTC 2023,8.1,146727
Tue Oct 10 20:35:51 UTC 2023,8.1,145043
Tue Oct 10 20:35:52 UTC 2023,8.1,144688
Tue Oct 10 20:35:52 UTC 2023,8.1,144189
Tue Oct 10 20:35:53 UTC 2023,8.1,146557
Tue Oct 10 20:35:53 UTC 2023,8.1,147206
Tue Oct 10 20:35:54 UTC 2023,8.1,144542
Tue Oct 10 20:35:55 UTC 2023,8.1,147285
Tue Oct 10 20:35:55 UTC 2023,8.1,144626
Tue Oct 10 20:35:56 UTC 2023,8.1,147237
Tue Oct 10 20:35:56 UTC 2023,8.1,144710
Tue Oct 10 20:35:57 UTC 2023,8.1,146953
Tue Oct 10 20:35:58 UTC 2023,8.1,145966
Tue Oct 10 20:35:58 UTC 2023,8.1,144941
Tue Oct 10 20:35:59 UTC 2023,8.1,147320
Tue Oct 10 20:36:00 UTC 2023,8.1,144725
Tue Oct 10 20:36:00 UTC 2023,8.1,147284
Tue Oct 10 20:36:01 UTC 2023,8.1,144613
Tue Oct 10 20:36:01 UTC 2023,8.1,144517
Tue Oct 10 20:36:02 UTC 2023,8.1,147024
Tue Oct 10 20:36:02 UTC 2023,8.1,147324
Tue Oct 10 20:36:03 UTC 2023,8.1,144705
Tue Oct 10 20:36:04 UTC 2023,8.1,147492
Tue Oct 10 20:36:04 UTC 2023,8.1,144765
Tue Oct 10 20:36:05 UTC 2023,8.1,149205
Tue Oct 10 20:36:06 UTC 2023,8.1,147422
Tue Oct 10 20:36:06 UTC 2023,8.1,145569
Tue Oct 10 20:36:07 UTC 2023,8.1,145061
Tue Oct 10 20:36:07 UTC 2023,8.1,147334
Tue Oct 10 20:36:08 UTC 2023,8.1,145090
Tue Oct 10 20:36:09 UTC 2023,8.1,147501
Tue Oct 10 20:36:09 UTC 2023,8.1,145170
Tue Oct 10 20:36:10 UTC 2023,8.1,147662
Tue Oct 10 20:36:10 UTC 2023,8.1,145051
Tue Oct 10 20:36:11 UTC 2023,8.1,147829
Tue Oct 10 20:36:11 UTC 2023,8.1,145182
Tue Oct 10 20:36:12 UTC 2023,8.1,147736
Tue Oct 10 20:36:13 UTC 2023,8.1,147749
Tue Oct 10 20:36:13 UTC 2023,8.1,145292
Tue Oct 10 20:36:14 UTC 2023,8.1,144950
Tue Oct 10 20:36:14 UTC 2023,8.1,149196
Tue Oct 10 20:36:15 UTC 2023,8.1,145616
Tue Oct 10 20:36:16 UTC 2023,8.1,148995
Tue Oct 10 20:36:16 UTC 2023,8.1,145648
Tue Oct 10 20:36:17 UTC 2023,8.1,148052
Tue Oct 10 20:36:17 UTC 2023,8.1,145416
Tue Oct 10 20:36:18 UTC 2023,8.1,149483
Tue Oct 10 20:36:18 UTC 2023,8.1,148036
Tue Oct 10 20:36:19 UTC 2023,8.1,145570
Tue Oct 10 20:36:20 UTC 2023,8.1,145220
Tue Oct 10 20:36:20 UTC 2023,8.1,147959
Tue Oct 10 20:36:21 UTC 2023,8.1,145616
Tue Oct 10 20:36:21 UTC 2023,8.1,145691
Tue Oct 10 20:36:22 UTC 2023,8.1,145164
Tue Oct 10 20:36:22 UTC 2023,8.1,147895
Tue Oct 10 20:36:23 UTC 2023,8.1,145369
Tue Oct 10 20:36:23 UTC 2023,8.1,147824
Tue Oct 10 20:36:24 UTC 2023,8.1,145156
Tue Oct 10 20:36:25 UTC 2023,8.1,147883
Tue Oct 10 20:36:25 UTC 2023,8.1,145236
Tue Oct 10 20:36:26 UTC 2023,8.1,147952
Tue Oct 10 20:36:26 UTC 2023,8.1,145640
Tue Oct 10 20:36:27 UTC 2023,8.1,147503
Tue Oct 10 20:36:27 UTC 2023,8.1,145304
Tue Oct 10 20:36:28 UTC 2023,8.1,148272
Tue Oct 10 20:36:29 UTC 2023,8.1,147341
Tue Oct 10 20:36:30 UTC 2023,8.1,149221
Tue Oct 10 20:36:32 UTC 2023,8.1,149568
Tue Oct 10 20:36:33 UTC 2023,8.1,145997
Tue Oct 10 20:36:33 UTC 2023,8.1,150053
Tue Oct 10 20:36:34 UTC 2023,8.1,146608
Tue Oct 10 20:36:35 UTC 2023,8.1,148386
Tue Oct 10 20:36:35 UTC 2023,8.1,146420
